종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
기사합계,전체,전체,12768971,9173922,3374690,36.8,6376359,5252904,2054716,39.1,2135107
기사합계,2015(누적),전체,10345992,7402481,2641944,35.7,5030726,4112015,1584160,38.5,1664551
기사합계,2016,전체,451651,324625,125203,38.6,219527,189610,82070,43.3,82070
기사합계,2016,여자,89468,68080,28951,42.5,47175,41690,19749,47.4,19751
기사합계,2017,전체,468829,340250,128581,37.8,236142,201420,83274,41.3,83274
기사합계,2017,여자,91603,70077,28864,41.2,49803,43227,17161,39.7,17161
기사합계,2018,전체,476572,345833,135170,39.1,247097,210000,89380,42.6,89380
기사합계,2018,여자,94994,72130,31413,43.6,54017,46478,21473,46.2,21476
기사합계,2019,전체,539460,392925,173686,44.2,299932,256468,114955,44.8,114883
기사합계,2019,여자,110917,85169,40609,47.7,67141,58441,27741,47.5,27722
기사합계,2020,전체,486467,367808,170106,46.2,342935,283391,100877,35.6,100949
기사합계,2020,여자,109495,85770,42890,50,81542,67202,23420,34.9,23441
생산관리분야,전체,전체,181597,129053,48871,37.9,79970,68306,25305,37,33928
생산관리분야,2015(누적),전체,155787,110459,40366,36.5,65031,55471,19900,35.9,28523
생산관리분야,2016,전체,5480,3872,1553,40.1,2752,2393,953,39.8,953
생산관리분야,2016,여자,1235,929,408,43.9,714,629,262,41.7,262
생산관리분야,2017,전체,5787,4166,1759,42.2,3077,2680,910,34,910
생산관리분야,2017,여자,1421,1056,446,42.2,756,673,237,35.2,237
생산관리분야,2018,전체,4827,3500,1523,43.5,2806,2424,1143,47.2,1143
생산관리분야,2018,여자,1295,973,405,41.6,674,598,297,49.7,297
생산관리분야,2019,전체,5159,3664,1679,45.8,2897,2489,837,33.6,837
생산관리분야,2019,여자,1326,984,458,46.5,737,646,217,33.6,217
생산관리분야,2020,전체,4557,3392,1991,58.7,3407,2849,1562,54.8,1562
생산관리분야,2020,여자,1382,1041,616,59.2,996,845,474,56.1,475
공정관리,전체,전체,8629,6041,1601,26.5,1191,1049,358,34.1,0
공정관리,2015(누적),전체,8629,6041,1601,26.5,1191,1049,358,34.1,0
품질경영,전체,전체,62835,43003,16198,37.7,29302,24612,10195,41.4,33815
품질경영,2015(누적),전체,37273,24612,7802,31.7,14534,11930,4819,40.4,28439
품질경영,2016,전체,5450,3846,1534,39.9,2721,2365,950,40.2,950
품질경영,2016,여자,1226,923,403,43.7,705,621,262,42.2,262
품질경영,2017,전체,5741,4126,1739,42.1,3046,2653,900,33.9,900
품질경영,2017,여자,1411,1047,440,42,746,664,236,35.5,236
품질경영,2018,전체,4774,3459,1506,43.5,2773,2395,1139,47.6,1139
품질경영,2018,여자,1284,964,401,41.6,663,589,296,50.3,296
품질경영,2019,전체,5099,3617,1644,45.5,2858,2454,835,34,835
품질경영,2019,여자,1310,973,450,46.2,728,639,217,34,217
품질경영,2020,전체,4498,3343,1973,59,3370,2815,1552,55.1,1552
품질경영,2020,여자,1370,1030,614,59.6,989,838,473,56.4,474
품질관리,전체,전체,109150,79211,30765,38.8,49039,42253,14639,34.6,0
품질관리,2015(누적),전체,109150,79211,30765,38.8,49039,42253,14639,34.6,0
포장,전체,전체,983,798,307,38.5,438,392,113,28.8,113
포장,2015(누적),전체,735,595,198,33.3,267,239,84,35.1,84
포장,2016,전체,30,26,19,73.1,31,28,3,10.7,3
포장,2016,여자,9,6,5,83.3,9,8,0,0,0
포장,2017,전체,46,40,20,50,31,27,10,37,10
포장,2017,여자,10,9,6,66.7,10,9,1,11.1,1
포장,2018,전체,53,41,17,41.5,33,29,4,13.8,4
포장,2018,여자,11,9,4,44.4,11,9,1,11.1,1
포장,2019,전체,60,47,35,74.5,39,35,2,5.7,2
포장,2019,여자,16,11,8,72.7,9,7,0,0,0
포장,2020,전체,59,49,18,36.7,37,34,10,29.4,10
포장,2020,여자,12,11,2,18.2,7,7,1,14.3,1
디자인분야,전체,전체,98100,75798,47166,62.2,60693,48536,21566,44.4,21573
디자인분야,2015(누적),전체,80696,62248,38630,62.1,50555,39899,17802,44.6,17809
디자인분야,2016,전체,3449,2623,1575,60,1864,1585,824,52,824
디자인분야,2016,여자,3045,2336,1427,61.1,1683,1435,766,53.4,766
디자인분야,2017,전체,3430,2639,1623,61.5,2076,1754,681,38.8,681
디자인분야,2017,여자,3009,2327,1439,61.8,1871,1594,641,40.2,641
디자인분야,2018,전체,3288,2500,1495,59.8,2045,1705,739,43.3,739
디자인분야,2018,여자,2898,2207,1327,60.1,1801,1515,677,44.7,678
디자인분야,2019,전체,3418,2642,1668,63.1,2136,1818,853,46.9,853
디자인분야,2019,여자,2993,2321,1467,63.2,1897,1627,781,48,781
디자인분야,2020,전체,3819,3146,2175,69.1,2017,1775,667,37.6,667
디자인분야,2020,여자,3207,2650,1828,69,1797,1586,617,38.9,617
서비스·경험디자인,전체,전체,744,609,550,90.3,0,0,0,0,0
서비스·경험디자인,2020,전체,744,609,550,90.3,0,0,0,0,0
서비스·경험디자인,2020,여자,509,409,375,91.7,0,0,0,0,0
제품디자인,전체,전체,1750,1351,495,36.6,537,439,213,48.5,220
제품디자인,2015(누적),전체,1565,1210,410,33.9,461,371,166,44.7,173
제품디자인,2016,전체,40,30,14,46.7,16,13,10,76.9,10
제품디자인,2016,여자,18,15,6,40,5,3,1,33.3,1
제품디자인,2017,전체,34,24,19,79.2,19,16,7,43.8,7
제품디자인,2017,여자,17,14,12,85.7,12,10,5,50,5
제품디자인,2018,전체,40,32,23,71.9,22,21,19,90.5,19
제품디자인,2018,여자,19,13,9,69.2,7,7,7,100,7
제품디자인,2019,전체,38,30,13,43.3,10,9,7,77.8,7
제품디자인,2019,여자,19,14,7,50,6,6,5,83.3,5
제품디자인,2020,전체,33,25,16,64,9,9,4,44.4,4
제품디자인,2020,여자,19,15,10,66.7,4,4,2,50,2
시각디자인,전체,전체,6504,5134,3373,65.7,3927,3364,1641,48.8,1641
시각디자인,2015(누적),전체,4994,3906,2474,63.3,2934,2456,1145,46.6,1145
시각디자인,2016,전체,238,183,117,63.9,153,139,60,43.2,60
시각디자인,2016,여자,182,143,95,66.4,123,112,50,44.6,50
시각디자인,2017,전체,323,250,189,75.6,181,165,67,40.6,67
시각디자인,2017,여자,250,196,146,74.5,137,127,52,40.9,52
시각디자인,2018,전체,259,212,156,73.6,196,180,137,76.1,137
시각디자인,2018,여자,199,158,118,74.7,146,133,107,80.5,107
시각디자인,2019,전체,328,281,196,69.8,205,178,111,62.4,111
시각디자인,2019,여자,255,220,153,69.5,159,135,87,64.4,87
시각디자인,2020,전체,362,302,241,79.8,258,246,121,49.2,121
시각디자인,2020,여자,297,249,200,80.3,211,200,104,52,104
컬러리스트,전체,전체,89102,68704,42748,62.2,56229,44733,19712,44.1,19712
컬러리스트,2015(누적),전체,74137,57132,35746,62.6,47160,37072,16491,44.5,16491
컬러리스트,2016,전체,3171,2410,1444,59.9,1695,1433,754,52.6,754
컬러리스트,2016,여자,2845,2178,1326,60.9,1555,1320,715,54.2,715
컬러리스트,2017,전체,3073,2365,1415,59.8,1876,1573,607,38.6,607
컬러리스트,2017,여자,2742,2117,1281,60.5,1722,1457,584,40.1,584
컬러리스트,2018,전체,2989,2256,1316,58.3,1827,1504,583,38.8,583
컬러리스트,2018,여자,2680,2036,1200,58.9,1648,1375,563,40.9,564
컬러리스트,2019,전체,3052,2331,1459,62.6,1921,1631,735,45.1,735
컬러리스트,2019,여자,2719,2087,1307,62.6,1732,1486,689,46.4,689
컬러리스트,2020,전체,2680,2210,1368,61.9,1750,1520,542,35.7,542
컬러리스트,2020,여자,2382,1977,1243,62.9,1582,1382,511,37,511
건축분야,전체,전체,1293013,902729,275765,30.5,658919,508894,156177,30.7,170396
건축분야,2015(누적),전체,1127154,787635,235419,29.9,574824,440932,129014,29.3,143233
건축분야,2016,전체,32150,22038,6403,29.1,14916,12235,4294,35.1,4294
건축분야,2016,여자,9577,6983,2135,30.6,4661,3931,1379,35.1,1380
건축분야,2017,전체,32929,22488,7154,31.8,15262,12444,5264,42.3,5264
건축분야,2017,여자,9358,6775,2176,32.1,4470,3769,1616,42.9,1616
건축분야,2018,전체,33322,23021,7957,34.6,15729,12771,5354,41.9,5354
건축분야,2018,여자,9794,7187,2561,35.6,4691,3907,1785,45.7,1785
건축분야,2019,전체,36065,24709,8931,36.1,17459,14186,5928,41.8,5928
건축분야,2019,여자,10892,7969,3011,37.8,5377,4525,1948,43,1948
건축분야,2020,전체,31393,22838,9901,43.4,20729,16326,6323,38.7,6323
건축분야,2020,여자,9789,7455,3419,45.9,6833,5503,2275,41.3,2275
실내건축,전체,전체,118653,84207,34613,41.1,57894,40430,13686,33.9,13686
실내건축,2015(누적),전체,98877,69337,27508,39.7,49290,33156,9108,27.5,9108
실내건축,2016,전체,3652,2658,1115,41.9,1266,1081,670,62,670
실내건축,2016,여자,2404,1809,749,41.4,845,739,499,67.5,499
실내건축,2017,전체,3794,2776,1226,44.2,1483,1286,729,56.7,729
실내건축,2017,여자,2419,1808,773,42.8,951,850,507,59.6,507
실내건축,2018,전체,4112,3124,1507,48.2,1675,1415,1054,74.5,1054
실내건축,2018,여자,2642,2052,1003,48.9,1108,970,757,78,757
실내건축,2019,전체,4436,3335,1614,48.4,1975,1672,997,59.6,997
실내건축,2019,여자,2824,2216,1069,48.2,1294,1129,732,64.8,732
실내건축,2020,전체,3782,2977,1643,55.2,2205,1820,1128,62,1128
