종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
생산관리분야,1975,2019,전체,177040,125661,46880,37.3,76563,65457,23743,36.3,32366
생산관리분야,1975,2014,전체,150523,106678,38724,36.3,62433,53195,18739,35.2,27362
생산관리분야,2015,2015,전체,5264,3781,1642,43.4,2598,2276,1161,51,1161
생산관리분야,2015,2015,여,1196,929,456,49.1,658,581,296,50.9,296
생산관리분야,2016,2016,전체,5480,3872,1553,40.1,2752,2393,953,39.8,953
생산관리분야,2016,2016,여,1235,929,408,43.9,714,629,262,41.7,262
생산관리분야,2017,2017,전체,5787,4166,1759,42.2,3077,2680,910,34,910
생산관리분야,2017,2017,여,1421,1056,446,42.2,756,673,237,35.2,237
생산관리분야,2018,2018,전체,4827,3500,1523,43.5,2806,2424,1143,47.2,1143
생산관리분야,2018,2018,여,1295,973,405,41.6,674,598,297,49.7,297
생산관리분야,2019,2019,전체,5159,3664,1679,45.8,2897,2489,837,33.6,837
생산관리분야,2019,2019,여,1326,984,458,46.5,737,646,217,33.6,217
품질경영,1975,2019,전체,58337,39660,14225,35.9,25932,21797,8643,39.7,32263
품질경영,1975,2014,전체,32074,20889,6188,29.6,11968,9685,3662,37.8,27282
품질경영,2015,2015,전체,5199,3723,1614,43.4,2566,2245,1157,51.5,1157
품질경영,2015,2015,여,1170,905,443,49,644,568,293,51.6,293
품질경영,2016,2016,전체,5450,3846,1534,39.9,2721,2365,950,40.2,950
품질경영,2016,2016,여,1226,923,403,43.7,705,621,262,42.2,262
품질경영,2017,2017,전체,5741,4126,1739,42.1,3046,2653,900,33.9,900
품질경영,2017,2017,여,1411,1047,440,42,746,664,236,35.5,236
품질경영,2018,2018,전체,4774,3459,1506,43.5,2773,2395,1139,47.6,1139
품질경영,2018,2018,여,1284,964,401,41.6,663,589,296,50.3,296
품질경영,2019,2019,전체,5099,3617,1644,45.5,2858,2454,835,34,835
품질경영,2019,2019,여,1310,973,450,46.2,728,639,217,34,217
포장,1975,2019,전체,924,749,289,38.6,401,358,103,28.8,103
포장,1975,2014,전체,670,537,170,31.7,235,208,80,38.5,80
포장,2015,2015,전체,65,58,28,48.3,32,31,4,12.9,4
포장,2015,2015,여,26,24,13,54.2,14,13,3,23.1,3
포장,2016,2016,전체,30,26,19,73.1,31,28,3,10.7,3
포장,2016,2016,여,9,6,5,83.3,9,8,0,0,0
포장,2017,2017,전체,46,40,20,50,31,27,10,37,10
포장,2017,2017,여,10,9,6,66.7,10,9,1,11.1,1
포장,2018,2018,전체,53,41,17,41.5,33,29,4,13.8,4
포장,2018,2018,여,11,9,4,44.4,11,9,1,11.1,1
포장,2019,2019,전체,60,47,35,74.5,39,35,2,5.7,2
포장,2019,2019,여,16,11,8,72.7,9,7,0,0,0
디자인분야,1975,2019,전체,94281,72652,44991,61.9,58676,46761,20899,44.7,20906
디자인분야,1975,2014,전체,77269,59709,37036,62,48599,38230,16994,44.5,17001
디자인분야,2015,2015,전체,3427,2539,1594,62.8,1956,1669,808,48.4,808
디자인분야,2015,2015,여,3063,2282,1452,63.6,1773,1519,757,49.8,756
디자인분야,2016,2016,전체,3449,2623,1575,60,1864,1585,824,52,824
디자인분야,2016,2016,여,3045,2336,1427,61.1,1683,1435,766,53.4,766
디자인분야,2017,2017,전체,3430,2639,1623,61.5,2076,1754,681,38.8,681
디자인분야,2017,2017,여,3009,2327,1439,61.8,1871,1594,641,40.2,641
디자인분야,2018,2018,전체,3288,2500,1495,59.8,2045,1705,739,43.3,739
디자인분야,2018,2018,여,2898,2207,1327,60.1,1801,1515,677,44.7,678
디자인분야,2019,2019,전체,3418,2642,1668,63.1,2136,1818,853,46.9,853
디자인분야,2019,2019,여,2993,2321,1467,63.2,1897,1627,781,48,781
제품디자인,1975,2019,전체,1717,1326,479,36.1,528,430,209,48.6,216
제품디자인,1975,2014,전체,1527,1184,400,33.8,450,361,161,44.6,168
제품디자인,2015,2015,전체,38,26,10,38.5,11,10,5,50,5
제품디자인,2015,2015,여,17,11,3,27.3,4,3,3,100,3
제품디자인,2016,2016,전체,40,30,14,46.7,16,13,10,76.9,10
제품디자인,2016,2016,여,18,15,6,40,5,3,1,33.3,1
제품디자인,2017,2017,전체,34,24,19,79.2,19,16,7,43.8,7
제품디자인,2017,2017,여,17,14,12,85.7,12,10,5,50,5
제품디자인,2018,2018,전체,40,32,23,71.9,22,21,19,90.5,19
제품디자인,2018,2018,여,19,13,9,69.2,7,7,7,100,7
제품디자인,2019,2019,전체,38,30,13,43.3,10,9,7,77.8,7
제품디자인,2019,2019,여,19,14,7,50,6,6,5,83.3,5
시각디자인,1975,2019,전체,6142,4832,3132,64.8,3669,3118,1520,48.7,1520
시각디자인,1975,2014,전체,4703,3678,2310,62.8,2746,2287,1051,46,1051
시각디자인,2015,2015,전체,291,228,164,71.9,188,169,94,55.6,94
시각디자인,2015,2015,여,242,190,141,74.2,160,146,81,55.5,81
시각디자인,2016,2016,전체,238,183,117,63.9,153,139,60,43.2,60
시각디자인,2016,2016,여,182,143,95,66.4,123,112,50,44.6,50
시각디자인,2017,2017,전체,323,250,189,75.6,181,165,67,40.6,67
시각디자인,2017,2017,여,250,196,146,74.5,137,127,52,40.9,52
시각디자인,2018,2018,전체,259,212,156,73.6,196,180,137,76.1,137
시각디자인,2018,2018,여,199,158,118,74.7,146,133,107,80.5,107
시각디자인,2019,2019,전체,328,281,196,69.8,205,178,111,62.4,111
