년도,대회기간,시도,연직종,참가선수,1위,2위,3위,계,우수상,장려상
1966,09.09-09.13,3,52,578,50,47,45,142,24,-
1967,04.20-04.26,5,81,"1,032",81,80,81,242,48,-
1968,04.20-04.26,5,101,"1,635",101,101,100,302,23,-
1969,04.18-04.25,6,133,"1,941",127,128,127,382,22,-
1970,04.01-04.08,6,131,"2,548",133,133,133,399,30,-
1971,04.06-04.13,7,147,"2,948",145,145,146,436,41,-
1972,04.19-04.26,7,147,"2,493",145,145,146,436,44,-
1973,04.20-04.27,7,135,"2,582",134,135,135,404,41,-
1974,05.03-05.09,9,134,"2,224",133,133,133,399,45,-
1975,04.24-04.30,9,145,"2,425",144,143,145,432,24,-
1976,05.07-05.13,10,172,"2,784",172,172,170,514,71,-
1977,04.29-05.06,10,170,"2,790",170,170,170,510,60,-
1978,04.14-04.20,10,159,"2,906",166,166,165,497,128,-
1979,04.20-04.26,10,194,"3,088",197,188,191,576,156,-
1980,04.18-04.24,10,204,"3,009",204,202,201,607,141,-
1981,04.17-04.23,11,217,"2,916",217,217,217,651,154,-
1982,05.28-06.03,13,274,"3,587",263,263,261,787,197,-
1983,04.21-04.27,13,302,"4,021",300,300,295,895,211,-
1984,04.13-04.19,13,344,"4,417",338,338,333,"1,009",242,-
1985,04.11-04.17,13,351,"4,202",347,342,339,"1,028",238,-
1986,04.10-04.16,13,370(16),"4,197(55)",351,349,337,"1,037",283(우26),-
1987,04.23-04.29,13,413(39),"5,190(210)",404(33),395(27),373(13),"1,172(73)",279(3),-
1988,04.28-05.04,13,472(61),"5,435(395)",454(49),430(37),405(28),"1,289(114)",347(12),-
1989,04.20-04.26,13,464(44),"5,131(395)",443(33),433(27),406(17),"1,282(77)",369(12),-
1990,05.17-05.23,13,416(22),"4,865(169)",408(19),408(21),387(18),"1,203(58)",355(11),-
1991,05.03-05.09,13,381,"4,269",376,370,357,"1,103",320,-
1992,04.17-04.23,13,435,"4,859",426,428,417,"1,271",365,-
1993,04.22-04.28,13,438,"5,111",432,437,423,"1,292",370,-
1994,04.21-04.27,14,491,"5,556",483,483,469,"1,435",419,-
1995,04.13-04.19,14,509,"5,947",499,502,487,"1,488",413,-
1996,04.17-04.23,14,510,"6,182",501,503,489,"1,493",430,-
1997,04.24-04.30,14,515,"6,376",517,516,499,"1,532",442,-
1998,04.15-04.21,15,559,"6,779",558,566,541,"1,665",474,-
1999,04.21-04.27,16,602,"7,441",603,601,584,"1,788",490,-
2000,04.21-04.27,16,625,"7,442",600,625,611,"1,836",584,-
2001,03.22-03.28,16,646,"7,346",642,638,595,"1,875",580,-
2002,04.18-04.24,16,653,"7,366",653,639,601,"1,893",591,-
2003,04.16-04.22,16,663,"7,448",671,658,604,"1,933",600,-
2004,04.07-04.13,16,647,"7,705",654,655,632,"1,941",610,-
2005,04.20-04.26,16,671,"7,861",674,675,658,"2,007",617,-
2006,04.12-04.18,16,611,"6,791",620,621,607,"1,848",559,-
2007,04.11-04.17,16,631,"7,183",638,635,615,"1,888",540,-
2008,04.11-04.16,16,642,"7,877",649,651,630,"1,930",568,-
2009,04.08-04.13,16,701,"8,905",727,728,711,"2,166",619,-
2010,04.07-04.12,16,716,"9,878",747,750,728,"2,225",649,-
2011,04.20-04.25,16,626,"9,034",658,658,642,"1,958",578,-
2012,04.12-04.17,16,619,"8,825",647,651,631,"1,929",578,-
2013,04.10-04-15,17,629,"8,468",656,660,635,"1,951",547,-
2014,04.09-04.14,17,631,"8,352",662,658,647,"1,967",551,-
2015,04.08-04.13,17,637,"8,271",672,681,661,"2,014",532,-
2016,04.06-04.11,17,631,"7,593",671,670,663,"2,004",528,-
2017,04.05-04.10,17,635,"6,755",676,668,653,"1,997",474,-
2018,04.04-04.09,17,633,"6,172",660,656,637,"1,953",448,-
2019,04.03-04.08,17,632,"5,758",658,650,635,"1,943",434,-
2020,06.08-07.04,17,635,"5,530",650,636,594,"1,880",377,145
2021,04.03-04.08,17,649,"5,357",672,652,603,"1,927",30,388
,,,,,,,,,,
