종목명,종목영문명,해당등급,사용여부,해당등급등록일,종목등록일,입고대상여부,시행여부
도자기공예기능사,Craftsman Pottery Handicraft,기능사,Y,14/06/23,14/06/23,Y,현재시행
제강기능사보,Assistant Craftsman Steel Making (Convertering),기능사보,N,14/06/23,14/06/23,N,폐지+유지
산업기계정비기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
발전기계설비기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
유독물취급기능사,Craftsman Poisonous Material Handling,기능사,Y,14/06/23,14/06/23,N,폐지+유지
고압합성기능사,Craftsman,기능사,Y,14/06/23,14/06/23,N,폐지+유지
타출판금기능사보,Assistant Craftsman Impact Extrusion Sheet Metal,기능사보,N,14/06/23,14/06/23,N,폐지+유지
건축재료시험기능사보,Assistant Craftsman Architectural Material Testing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
자동차판금기능사보,Assistant Craftsman Auto Sheet Metal,기능사보,N,14/06/23,14/06/23,N,폐지+유지
제관기능사보,Assistant Craftsman Boiler Making,기능사보,N,14/06/23,14/06/23,N,폐지+유지
철골구조물기능사보,Assistant Craftsman Steel Structure,기능사보,N,14/06/23,14/06/23,N,폐지+유지
배관기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
배관기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
배관기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
건축배관기능사보,Assistant Craftsman Plumbing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
도자기제조기능사보,Assistant Craftsman Pottery Manufacturing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
유리제조기능사보,Assistant Craftsman Glass Manufacturing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
고무제품제조기능사보,Assistant Craftsman Rubber Product Manufacturing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
타자기수리기능사,Craftsman Typewriter Repair,기능사,Y,14/06/23,14/06/23,N,폐지+유지
제강기능사보,Assistant Craftsman Steel Making (Ingot Making),기능사보,N,14/06/23,14/06/23,N,폐지+유지
조주기능사,Craftsman Bartender,기능사,Y,14/06/23,14/06/23,Y,현재시행
제강기능사보,Assistant Craftsman Steel Making (Continuous Casting),기능사보,N,14/06/23,14/06/23,N,폐지+유지
코크스기능사보,Assistant Craftsman Coke Making,기능사보,N,14/06/23,14/06/23,N,폐지+유지
원형기능사보,Assistant Craftsman Pattern Making,기능사보,N,14/06/23,14/06/23,N,폐지+유지
압연기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
열간압연기능사보,Assistant Craftsman Hot Rolling,기능사보,N,14/06/23,14/06/23,N,폐지+유지
냉간압연기능사보,Assistant Craftsman Cold Rolling,기능사보,N,14/06/23,14/06/23,N,폐지+유지
단조기능사보,Assistant Craftsman Forging,기능사보,N,14/06/23,14/06/23,N,폐지+유지
광산기계기능사보,Assistant Craftsman Mining Apparatus,기능사보,N,14/06/23,14/06/23,N,폐지+유지
주물조형기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
주조기능사보,Assistant Craftsman Casting,기능사보,N,14/06/23,14/06/23,N,폐지+유지
주강조형기능사보,Assistant Craftsman Steel Molding,기능사보,N,14/06/23,14/06/23,N,폐지+유지
유기합성기능사,Craftsman,기능사,Y,14/06/23,14/06/23,N,폐지+유지
중식조리기능사,"Craftsman Cook, Chinese Food",기능사,Y,14/06/23,14/06/23,Y,현재시행
복어조리기능사,"Craftsman Cook, Blowfish",기능사,Y,14/06/23,14/06/23,Y,현재시행
사진기능사2급,,기능사,Y,14/06/23,14/06/23,N,폐지
제강기능사보,Assistant Craftsman Steel Making (Electric Futnace),기능사보,N,14/06/23,14/06/23,N,폐지+유지
축로기능사보,Assistant Craftsman Furnace Construction,기능사보,N,14/06/23,14/06/23,N,폐지+유지
2급조리사,,기능사,Y,14/06/23,14/06/23,N,폐지
전기도금기능사보,Assistant Craftsman Electric Plating,기능사보,N,14/06/23,14/06/23,N,폐지+유지
특수도금기능사보,Assistant Craftsman Special Plating,기능사보,N,14/06/23,14/06/23,N,폐지+유지
제선기능사보,,기능사보,N,14/06/23,14/06/23,N,폐지
제선기능사보,Assistant Craftsman Iron Making (Blast Furnace),기능사보,N,14/06/23,14/06/23,N,폐지+유지
제선기능사보,Assistant Craftsman Iron Making (Sintering),기능사보,N,14/06/23,14/06/23,N,폐지+유지
담배원료가공기능사보,Assistant Craftsman Tobacco Prepare,기능사보,N,14/06/23,14/06/23,N,폐지+유지
궐련제조기능사보,Assistant Craftsman Cigarette Making,기능사보,N,14/06/23,14/06/23,N,폐지+유지
피아노조율기능사,Craftsman Piano Tuner,기능사,Y,14/06/23,14/06/23,Y,현재시행
이용사,Barber,기능사,Y,14/06/23,14/06/23,Y,현재시행
가눈섭기능사,Craftsman,기능사,Y,14/06/23,14/06/23,N,폐지+유지
한식조리 기능사,"Craftsman Cook, Korean Food",기능사,Y,14/06/23,14/06/23,Y,현재시행
양식조리기능사,"Craftsman Cook, Western Food",기능사,Y,14/06/23,14/06/23,Y,현재시행
일식조리기능사,"Craftsman Cook, Japanese Food",기능사,Y,14/06/23,14/06/23,Y,현재시행
신발류제조기능사,Craftsman Shoe,기능사,Y,14/06/23,14/06/23,Y,현재시행
제책기능사,Craftsman Book Binding,기능사,Y,14/06/23,14/06/23,N,폐지+유지
인형기능사,Craftsman,기능사,Y,14/06/23,14/06/23,N,폐지+유지
인발기능사보,Assistant Craftsman Drawing,기능사보,N,14/06/23,14/06/23,N,폐지+유지
객화차정비기능사보,Assistant Craftsman Train Maintenance,기능사보,N,14/06/23,14/06/23,N,폐지+유지
사리채취기운전기능사,Craftsman Gravel Plant Operator,기능사,Y,14/06/23,14/06/23,N,폐지
