제작연도,카테고리,프로그램명,총편수,회차제목,내용,시간(러닝타임),장르구분,등록일
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_1,"마이크임팩트 한동헌 대표, 청춘의 질문 '나는 누구인가'",60min,토크-쇼,2016-04-04
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_2,"마이크임팩트 한동헌 대표, 청춘의 에너지가 창업 노하우",60min,토크-쇼,2016-04-05
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_3,"위메이크 프라이스 박유진 홍보실장, 사람을 움직이는 말",60min,토크-쇼,2016-04-06
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_4,"위메이크 프라이스 박유진 홍보실장, 프레젠테이션 필살기",60min,토크-쇼,2016-04-07
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_5,"조엘글로벌컨설팅 김조엘 대표, 해외 취업의 모든 것",60min,토크-쇼,2016-04-08
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_6,"해외 봉사 전문 멘토 김대중, 해외 봉사 프로처럼 준비하라",60min,토크-쇼,2016-04-11
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_7,"'수능 뽀개기' 저자 김성민, 1:1 맞춤형 고민상담소",60min,토크-쇼,2016-04-12
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_8,"연예 전문 기자 백현주, 당신의 꿈은 무엇입니까",60min,토크-쇼,2016-04-13
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_9,"연예전문기자 백현주, 기자와 직업정신",60min,토크-쇼,2016-04-14
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_10,"신철호, 사회적 이윤과 적정기술 그리고 창업",60min,토크-쇼,2016-04-15
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_11,"신철호, 1등할 수 있는 핵심역량에 집중하라",60min,토크-쇼,2016-04-18
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_12,"한국이미지전략연구소 허은아 소장, 멘탈부터 합격하라",60min,토크-쇼,2016-04-19
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_13,"한국이미지전략연구소 허은아 소장, 면접 슈퍼맨과 원더우먼에게서 배워라",60min,토크-쇼,2016-04-20
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_14,"농수산식품 벤처기업 ㈜청년수산 문성철 대표, 청년 벤처정신",60min,토크-쇼,2016-04-21
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_15,"농수산식품 벤처기업 ㈜청년수산 문성철 대표,  청년 창업 실전 가이드",60min,토크-쇼,2016-04-22
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_16,"장사의 신 저자 겸 푸드칼럼니스트 김유진, 우리 가게에는 왜 손님이 없을까",60min,토크-쇼,2016-04-25
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_17,"장사의 신 저자 겸 푸드칼럼니스트 김유진, 장사에도 정석이 따로 있다",60min,토크-쇼,2016-04-26
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_18,"쇼핑호스트 이고운영, 1조원 매출의 비밀",60min,토크-쇼,2016-04-27
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_19,"쇼핑호스트 이고운영, 말을 잘 하려면 어떻게 해야할까",60min,토크-쇼,2016-04-28
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_20,"아주대학교 김경일 교수, 머리를 좋게 만드는 힘",60min,토크-쇼,2016-04-29
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_21,"아주대학교 김경일 교수,  Want와 Like의 차이",60min,토크-쇼,2016-05-02
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_24,"윤장래 출판PD (책이웃 출판사 대표), 에코세대 방향성을 찾아서",60min,토크-쇼,2016-05-06
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_25,"윤장래 출판PD (책이웃 출판사 대표), 포트폴리오 인생, 직업도 편집하라!",60min,토크-쇼,2016-05-09
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_26,"4전 5기의 챔피언 홍수환 (전 권투선수), 프로정신으로 도전하라!",60min,토크-쇼,2016-05-10
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_27,"4전 5기의 챔피언 홍수환 (전 권투선수), 프로정신으로 도전하라! 2부",60min,토크-쇼,2016-05-11
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_30,"가수 바나나걸 안수지, 가수의 꿈, 포기하지 않으면 된다!",60min,토크-쇼,2016-05-16
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_31,"주민관 소통트레이너 (바램감성소통연구소 대표), 사람을 살리는 감성 소통",60min,토크-쇼,2016-05-17
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_32,"주민관 소통트레이너 (바램감성소통연구소 대표), 꿈을 현실로 바꾸는 마법",60min,토크-쇼,2016-05-18
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_33,"박중열 디자이너, 좌충우돌 핀란드 유학기",60min,토크-쇼,2016-05-19
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_34,"박중열 디자이너, 세상을 바꾸는 디자인",60min,토크-쇼,2016-05-20
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_35,"방송인 하지영, 호감 가는 사람들의 스피치",60min,토크-쇼,2016-05-23
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_36,"방송인 하지영, 호감형 이미지, 내가 만든다!",60min,토크-쇼,2016-05-24
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_37,"박술녀 한복 디자이너, 혼을 담아 지은 한복 인생 30년",60min,토크-쇼,2016-05-25
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_38,"한국자금중개 권해상 사장, 걸으면 길이 생긴다",60min,토크-쇼,2016-05-26
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_39,"한국자금중개 권해상 사장, 나를 바꾸는 힘",60min,토크-쇼,2016-05-27
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_40,"드림러너 양유진, 청춘을 증명하라! 사서 고생 기부 라이딩",60min,토크-쇼,2016-05-30
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_41,"드림러너 양유진, 당신은 청춘입니까",60min,토크-쇼,2016-05-31
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_42,"안병익 대표 창업의 꿈, 네트워크가 답이다!",60min,토크-쇼,2016-06-01
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_43,"안병익 대표, 성공하는 스타트업의 비밀",50min,토크-쇼,2016-06-02
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_44,"시정희 대표 (CM아카데미) 알파고 혁명, 컴퓨터처럼 생각하라",50min,토크-쇼,2016-06-03
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_45,"시정희 대표 (CM아카데미) 교육의 미래, 에듀텍의 시대!",50min,토크-쇼,2016-06-07
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_46,"현승헌 대표 (건축사무소 선랩), 건축설계사가 말하는 건축학개론",50min,토크-쇼,2016-06-08
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_47,"현승헌 대표 (건축사무소 선랩) 청년 1인가구 변신, 청춘동 프로젝트",50min,토크-쇼,2016-06-09
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_48,"심명성 대표 (버드케인) 직업특강, PR이란 무엇인가",50min,토크-쇼,2016-06-10
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_49,"심명성 대표 (버드케인) 직업특강, 나의 본질을 마케팅하라!",50min,토크-쇼,2016-06-13
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_50,"박진우 사회복지학박사 (경찰청 경찰교육센터 외래교수), 아프니까 ‘사람’이다",50min,토크-쇼,2016-06-14
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_51,"주민관 소통트레이너, 내 안의 ‘나’와 먼저 소통하라",50min,토크-쇼,2016-06-15
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_52,"주민관 소통트레이너, 현혹되지 말고 도전하라!",50min,토크-쇼,2016-06-16
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_53,"이민호 대표 (제이라이프스쿨) 소통시대, 통하는 영어공부법",50min,토크-쇼,2016-06-17
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_54,"이민호 대표 (제이라이프스쿨) 행동, 행운, 행복 삼행일치의 비밀",50min,토크-쇼,2016-06-20
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_55,이민영 기업교육 전문가 취업멘토 특강! 스펙보다 자세를 갖춰라,50min,토크-쇼,2016-06-21
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_56,이민영 기업교육 전문가 ‘나’ 매니지먼트 설명서,50min,토크-쇼,2016-06-22
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_57,"김건희 연극배우 (극단 ‘배우는 사람’ 대표), 내일을 살 수 있는 용기",50min,토크-쇼,2016-06-23
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_58,"김건희 연극배우 (극단 ‘배우는 사람’ 대표), 꿈이 나를 따라 오게 하라",50min,토크-쇼,2016-06-24
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_59,"박준수 CF감독, 영화의 시작",50min,토크-쇼,2016-06-27
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_60,"박준수 CF감독, 광고는 인생처럼 영상은 장인처럼",50min,토크-쇼,2016-06-28
