종목명,항목,내용
가스산업기사,개요,"고압가스가 지닌 화학적, 물리적 특성으로 인한 각종 사고로부터 국민의생명과 재산을  보호하고 고압가스의 제조과정에서부터 소비과정에 이르기까지 안전에 대한 규제대책,  각종 가스용기, 기계, 기구 등에 대한 제품검사, 가스취급에 따른 제반시설의 검사 등  고압가스에 관한 안전관리를 실시하기 위한 전문인력을 양성하기 위하여 자격제도 제 정. "
가스산업기사,변천과정,’83.12.20.대통령령 제11281호95.10.16. 대통령령 제14783호’98.05.09. 대통령령 제15794호현재가스기사2급가스기사2급가스산업기사가스산업기사고압가스기계기능사1급고압가스기능사1급고압가스화학기능사1급
가스산업기사,수행직무,"고압가스 및 용기제조의 공정관리, 가스의 사용방법 및 취급요령 등을 위해 예방을 위 한 지도 및 감독업무와 저장, 판매, 공급 등의 과정에서 안전관리를 위한 지도 및 감독 업무 수행. "
가스산업기사,실시기관 홈페이지,http://www.q-net.or.kr
가스산업기사,실시기관명,한국산업인력공단 
가스산업기사,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1건설기술진흥법시행령제4조 건설기술자의 범위(별표1)건설기술자의 범위2건설기술진흥법시행규칙제5조건설기술연구·개발사업의협약체결대상기관등국토해양부령이 정하는 기관·협회·학회3건설기술진흥법시행규칙제50조품질시험및검사의실시(별표5)건설공사 품질관리를 위한 품질관리자의 배치기준4건설산업기본법 시행령제13조 건설업의 등록기준(별표2)건설업의 등록기준5건설산업기본법 시행령제35조 건설기술자의 현장배치기준등(별표5)공사예정금액의 규모별 건설기술자 배치기준6건축사법제2조 정의건축사보의 정의7경찰공무원임용령제16조 특별채용의 요건특별채용의 자격8고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제9고압가스 안전관리법 시행령제12조 안전관리자의 종류 및 자격 등(별표3)안전관리자의 자격, 선임인원10고압가스 안전관리법 시행규칙제58조 검사기관의 지정 등(별표36)전문검사기관, 공인검사기관의 기술인력11고압가스 안전관리법 시행규칙제61조 검사원 등(별표36)한국가스안전공사가 실시하는 각종 검사업무를 하는 검사원12공무원수당 등에 관한 규정제14조 특수업무수당(별표11)특수업무수당지급13공무원임용시험령제27조 특별채용시험의 응시자격 등(별표7, 8)특별채용시험에 응시14공무원임용시험령제31조 채용시험의 특전(별표12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증15공연법 시행령제10조의4무대예술전문인자격검정의응시기준(별표2)무대예술전문인 자격검정의 등급별 응시기준16공연법 시행규칙제6조의4무대예술전문인자격검정의응시무대예술전문인의 자격검정에 응시하고자 하는 자의 자격17공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우18공직자윤리법의 시행에 관한 대법원규칙제37조취업승인신청퇴직공직자의 취업승인 요건19공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건20교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격21교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정22국가공무원법제36조의2 채용시험의 가점채용시험의 가점23국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제2조 이공계인력의 범위 등이공계인력의 정의24국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제20조 연구기획평가사의 자격시험연구기획평가사 자격시험 일부 면제25국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대26국가기술자격법 시행령제12조의2국가기술자격의등급과응시자격(별표1의2)기술·기능분야 국가기술자격의 응시자격27국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대28국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격29국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산30국외유학에 관한 규정제5조 자비유학자격자비유학을 할수 있는자31국회인사규칙제20조경력경쟁채용등의요건동종직무에 관한 자격증소지자를 특별채용하는 경우32군무원인사법 시행령제10조 특별채용 요건특별채용시험에 의하여 신규채용할 수 있는 자격33군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제34군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산35군인사법 시행령제44조 전역보류(별표2, 5)정밀장비기술자, 군의 필수기술분야에 종사하는 자의 범위36군인사법 시행규칙제14조 부사관의 임용부사관의 자격37근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의38근로자직업능력 개발법 시행령제28조직업능력개발훈련교사의자격취득(별표2)직업능력개발훈련교사의자격39근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자40근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대41기술사법 시행령제19조 합동기술사사무소의 등록기준 등합동사무소구성원의 요건42도시가스사업법 시행령제15조 안전관리자의 종류 및 자격 등(별표1)안전관리자의 자격43도시가스사업법 시행규칙제47조 가스사용시설 안전관리업무 대행자의 자격가스사용시설 안전관리업무 대행자 자격44독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자45독학에 의한 학위취득에 관한 법률 시행규칙제4조 국가기술자격취득자에 대한 시험면제범위등자격취득분야와 동일한 분야의 시험에 응시하는 자에 대하여는 해당 과정별 인정시험 면제46병역법제53조 전시근로소집 대상 등전시근로소집 대상47병역법 시행령제79조 기간산업 분야 종사자 등의 산업기능요원 편입(별표2)기간산업분야종사자등의 산업기능요원 편입48병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원49비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위50산업안전보건법 시행규칙제17조 안전관리대행기관의 인력·시설 및 장비기준(별표5)안전관리대행기관의 인력기준51선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제52소방공무원 승진임용 규정 시행규칙제15조의2 가점평정(별표5)소방공무원이 당해 계급에서 자격증을 취득한 때 가점평정53소방공무원임용령제15조 특별채용의 요건등특별채용의 요건54소방공무원임용령 시행규칙제19조 초임소방공무원의 보직(별표6)행정안전부령이 정하는 자격증소지자55소방공무원임용령 시행규칙제23조 응시자격등의 기준(별표2)특별채용시험에 응시할 수 있는 자56소방공무원임용령 시행규칙제24조 채용시험의 특전(별표6)소방간부후보생선발시험과 소방사·지방소방사의 공개경쟁채용시험에 있어서의 자격증 가점비율57소방기본법 시행규칙제12조 화재조사전담부서의 설치ㆍ운영 등화재조사전담부서의 장58소방시설 설치유지 및 안전관리에 관한 법률 시행령제23조 소방안전관리자의 선임대상자소방안전관리자의 자격59소방시설공사업법 시행규칙제24조소방기술과관련된자격ㆍ학력및경력의인정범위등(별표4의2)소방기술과 관련된 자격의 인정 범위60안전행정부소관비상대비자원관리법시행규칙제2조 인력자원의 관리직종(별표)인력자원 관리직종의 자격 구분표61액화석유가스의 안전관리 및 사업법 시행령제5조 안전관리자의 종류 등(별표1)안전관리자의 자격62에너지이용 합리화법 시행령제30조 에너지절약전문기업의 등록 등(별표2)에너지절약전문기업으로 등록을 하려는 자63에너지이용 합리화법 시행령제39조 진단기관의 지정기준(별표4)진단기관이보유하여야하는기술인력64엔지니어링산업진흥법시행규칙제7조 엔지니어링사업자 신고(별표3)엔지니어링사업자의신고기술인력65여성과학기술인육성및지원에관한법률시행령제2조 정의여성과학기술인의 자격66연구직 및 지도직공무원의 임용 등에 관한 규정제26조의2 채용시험의 특전(별표5, 7)연구사 및 지도사공무원 채용시험 응시하는 경우 점수 가산67장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력68중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원69중소기업제품 구매촉진 및 판로지원에 관한 법률 시행규칙제12조시험연구원의지정등(별표3)시험연구원의 지정기준70중소기업진흥에 관한 법률제48조 1차 시험의 면제1차 시험을 면제71지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산72지방공무원 임용령제17조경력경쟁임용시험등을통한임용의요건특별임용 하려는 경우73지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산74지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정75지방자치단체를당사자로하는계약에관한법률시행령제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준76지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원77지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산78지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원79해양경찰청소속경찰공무원승진임용규정시행규칙제15조 가점평정(별표7)가점평정80해양환경관리법 시행규칙제23조 오염물질저장시설의 설치ㆍ운영기준(별표10)오염물질저장시설의 설치기준81헌법재판소공무원수당등에관한규칙제6조 특수업무수당(별표2)특수업무수당지급※ 한국산업인력공단에서는 국민 알권리 충족 및 정보 공개의 확대를 위하여 위 정보를 제공하고 있습니다. 단, 세부 법령에 대한 유권해석 및 적용 관련 사항에 대한 정확한 안내는 관련법을 제정한 소관부처에서 가능하니 참고하시기 바랍니다. 업데이트 일자: '14.7.13"
가스산업기사,진로 및 전망,"고압가스 제조업체·저장업체·판매업체에 기타 도시가스 사업소, 용기제조업소, 냉동기계제조업체 등 전국의 고압가스 관련업체로 진출할 수 있다. - 최근 국민생활수준의 향상과 산업의 발달로 연료용 및 산업용 가스의 수급규모가 대형화되고 있으며, 가스시설의 복잡·다양화됨에 따라 가스사고건수가 급증하고 사고 규모도 대형화되는 추세이다. 한국가스안전공사의 자료에 의하면 가스사고로 인한 인명피해가 1997년 467명에서 1998년에는 551명으로 증가하였고, 정부의 도시가스 확대 방안으로 인천, 평택인수기지에 이어 통영기지 건설을 추진하는 등 가스사용량 증가가 예상되어 가스기능장의 인력수요는 증가할 것이다."
가스산업기사,취득방법,"① 시 행 처 : 한국산업인력공단 ② 관련학과 : 대학과 전문대학의 화학공학, 가스냉동학, 가스산업학 ③ 관련학과 ④ 시험과목 - 필기 : 1. 연소공학 2. 가스설비 3. 가스안전관리 4. 가스계측 - 실기 : 가스실무 ⑤ 검정방법 - 필기 : 객관식 4지 택일형 과목당 20문항(과목당 30분) - 실기 : 복합형[필답형(1시간30분) + 작업형(1시간 정도)]  배점 : 필답형60점, 작업형(동영상)   합격기준 - 필기 : 100점을 만점으로 하여 과목당 40점 이상, 전과목 평균 60점 이상 - 실기 : 100점을 만점으로 하여 60점 이상 "
건설기계설비산업기사,개요,"건설현장의 기계설비분야의 기술향상을 통한 건설사업의 원활한 수행을 위하여 기계설비 에 관한 공학적인 이론을 바탕으로 기계설비의 설계, 견적, 제작, 시공, 감리와 관련 된 직무를 수행할 수 있는 전문인력의 양성이 요구됨 "
건설기계설비산업기사,변천과정,`74.10.16대통령령 제7283호`98.05.09대통령령 제15794호`12.12.21고용노동부령 제71호현재건설기계기사2급건설기계산업기사건설기계설비산업기사건설기계설비산업기사
