"순번","직종","참가시도 수","계","서울","부산","대구","인천","광주","대전","울산","세종","경기","강원","충북","충남","전북","전남","경북","경남","제주"
"1","폴리메카닉스","10","74","8","6","7","5","0","0","0","0","7","0","7","5","7","0","15","7","0"
"2","금형","14","107","12","7","11","13","7","5","4","0","8","4","7","8","8","0","5","8","0"
"3","기계설계/CAD","16","125","9","11","12","4","11","4","4","6","15","11","4","4","5","6","12","7","0"
"4","CNC/밀링","15","122","5","4","9","11","13","4","6","0","6","7","6","0","4","22","11","9","5"
"5","CNC/선반","14","107","10","4","15","10","10","4","6","0","4","4","4","0","4","8","14","10","0"
"6","프로토타입모델링","9","74","7","7","7","0","11","0","0","0","7","7","0","0","14","0","5","9","0"
"7","냉동기술","14","91","0","5","8","4","8","7","0","0","11","4","5","4","8","9","4","10","4"
"8","용접","17","176","13","11","6","4","19","8","11","8","7","11","4","10","14","5","21","14","10"
"9","배관","12","82","7","6","4","0","0","0","6","0","8","5","0","6","6","5","15","4","10"
"10","주조","9","69","9","7","11","0","0","0","7","0","9","7","0","7","0","0","7","5","0"
"11","자동차정비","15","168","8","14","16","11","8","11","5","0","20","4","0","8","12","11","19","12","9"
"12","자동차차체수리","13","123","10","21","6","0","19","0","4","0","12","5","0","5","7","7","18","4","5"
"13","자동차페인팅","14","142","9","21","4","13","0","4","0","0","12","4","7","5","23","8","12","12","8"
"14","농업기계정비","9","81","0","0","0","0","0","9","4","0","7","0","9","7","12","11","6","16","0"
"15","판금철골구조물","10","90","5","8","6","7","0","0","4","0","16","6","0","9","0","0","18","11","0"
"16","공업전자기기","14","125","15","5","7","5","8","16","7","0","12","12","6","7","0","5","12","8","0"
"17","전기제어","14","148","7","10","8","0","20","0","11","0","12","5","5","10","5","23","8","19","5"
"18","산업제어","15","138","7","9","13","7","16","14","8","0","7","7","8","4","8","7","11","12","0"
"19","전기기기","15","159","15","8","11","7","20","14","7","0","12","11","6","8","7","8","11","14","0"
"20","모바일로보틱스","10","118","12","10","20","0","8","0","0","0","12","0","10","10","0","8","14","14","0"
"21","통신망분배기술","12","128","8","8","8","4","31","0","0","0","16","0","6","6","0","4","11","8","18"
"22","메카트로닉스","14","168","16","10","14","8","18","10","0","0","16","4","10","8","8","16","14","16","0"
"23","산업용로봇","10","85","4","7","11","0","0","0","0","0","11","4","9","8","12","0","11","8","0"
"24","조적","6","32","5","0","0","0","0","7","4","0","7","5","0","0","0","0","0","0","4"
"25","미장","8","48","8","0","4","0","0","0","0","0","6","6","0","0","5","6","7","6","0"
"26","타일","8","54","8","9","0","0","0","7","4","0","9","0","4","0","0","0","0","8","5"
"27","가구","14","94","8","7","8","8","6","6","4","0","8","6","5","0","10","4","7","7","0"
"28","실내장식","11","61","6","0","7","4","0","0","4","0","8","0","4","4","8","6","6","4","0"
"29","목공","12","82","7","4","9","4","4","0","4","0","11","12","4","0","6","0","8","9","0"
"30","건축설계/CAD","14","105","19","9","8","7","0","0","5","0","8","4","4","4","7","5","8","8","9"
"31","정보기술","16","166","29","10","4","5","14","8","4","0","25","9","6","8","4","10","8","8","14"
"32","IT네트워크시스템","14","121","14","8","8","5","14","5","0","0","10","5","5","11","0","10","13","6","7"
"33","게임개발","9","115","49","7","11","0","0","0","7","0","14","5","0","6","8","0","8","0","0"
"34","웹디자인 및 개발","16","164","14","14","13","6","15","6","4","0","28","4","8","4","10","9","16","7","6"
"35","그래픽디자인","13","164","15","4","16","0","0","4","7","0","17","0","18","6","10","27","16","12","12"
"36","제품디자인","12","84","16","12","7","4","0","4","4","0","9","0","4","8","6","0","6","4","0"
"37","애니메이션","11","83","23","0","7","9","0","4","8","4","6","5","0","7","0","0","6","4","0"
"38","석공예","11","69","6","4","6","0","0","7","0","0","7","0","0","6","8","4","6","11","4"
"39","목공예","11","70","5","7","6","6","6","0","0","0","8","0","4","0","6","6","9","7","0"
"40","귀금속공예","11","95","10","9","14","5","5","8","0","0","18","0","0","0","10","4","8","4","0"
"41","보석가공","9","73","7","7","9","8","7","7","0","0","14","0","0","0","8","0","0","6","0"
"42","의상디자인","15","113","19","6","6","13","6","7","11","0","9","2","4","0","5","7","5","9","4"
"43","한복","16","154","21","17","9","11","12","4","6","0","13","4","4","4","12","8","7","14","8"
"44","도자기","14","115","7","11","7","4","9","11","6","0","16","0","0","4","12","7","7","7","7"
"45","화훼장식","17","139","20","8","7","6","7","5","5","5","16","6","6","5","7","5","12","12","7"
"46","헤어디자인","17","139","13","4","10","5","8","8","13","7","13","8","11","6","5","9","5","6","8"
"47","요리","14","137","25","11","5","13","7","4","0","6","19","0","5","14","7","6","6","9","0"
"48","제과","15","120","18","4","6","0","10","12","12","0","7","4","7","6","8","7","5","6","8"
"49","제빵","16","116","6","5","7","4","16","7","10","4","4","0","7","9","7","11","4","7","8"
"50","피부미용","15","137","12","0","5","4","16","4","5","0","27","4","5","7","5","19","8","9","7"
