종목명,과목명,과목순서,교시번호,문항수,수험시간_분,등록일
중식조리산업기사,식품학,2,1,20,30,20/08/07
중식조리산업기사,식품위생 및 관련법규,1,1,20,30,20/08/07
중식조리산업기사,공중보건학,4,1,20,30,20/08/07
아스팔트피니셔운전기능사,과목없음,1,1,60,60,14/09/24
금속재료기사,표면공학,5,1,20,30,14/09/24
금속재료기사,야금공학,3,1,20,30,14/09/24
금속재료기사,금속조직학,1,1,20,30,14/09/24
금속재료기사,금속재료학,2,1,20,30,14/09/24
금속재료기사,금속가공학,4,1,20,30,14/09/24
전자계산기제어산업기사,디지털공학,2,1,20,30,20/08/07
전자계산기제어산업기사,전자회로,1,1,20,30,20/08/07
전자계산기제어산업기사,프로그래밍언어,4,1,20,30,20/08/07
전자계산기제어산업기사,마이크로프로세서,3,1,20,30,20/08/07
컴퓨터응용선반기능사,과목없음,1,1,60,60,14/09/24
컴퓨터응용밀링기능사,과목없음,1,1,60,60,14/09/24
철도차량정비기능사,과목없음,1,1,60,60,14/09/24
압연기능사,과목없음,1,1,60,60,14/09/24
용접기능사,과목없음,1,1,60,60,14/09/24
어업생산관리기사,수산자원학 및 어업관리학,3,1,20,30,14/09/24
어업생산관리기사,어업어장정보론,4,1,20,30,14/09/24
어업생산관리기사,해양수산법규,5,1,20,30,14/09/24
어업생산관리기사,어법학,2,1,20,30,14/09/24
어업생산관리기사,어구학,1,1,20,30,14/09/24
에너지관리기사,열역학,2,1,20,30,14/09/24
에너지관리기사,열설비재료및관계법규,4,1,20,30,14/09/24
에너지관리기사,열설비설계,5,1,20,30,14/09/24
에너지관리기사,연소공학,1,1,20,30,14/09/24
에너지관리기사,계측방법,3,1,20,30,14/09/24
에너지관리산업기사,열설비 취급 및 안전관리,4,1,20,30,20/08/07
에너지관리산업기사,열설비 구조 및 시공,3,1,20,30,20/08/07
에너지관리산업기사,계측 및 에너지 진단,2,1,20,30,20/08/07
에너지관리산업기사,열역학 및 연소관리,1,1,20,30,20/08/07
화훼장식기사,화훼재료 및 형태학,1,1,20,30,14/09/24
화훼장식기사,화훼유통 및 경영론,5,1,20,30,14/09/24
화훼장식기사,화훼품질유지 및 관리론,2,1,20,30,14/09/24
화훼장식기사,화훼장식학,3,1,20,30,14/09/24
화훼장식기사,화훼장식디자인 및 제작론,4,1,20,30,14/09/24
스포츠경영관리사,스포츠시설론,4,1,25,150,14/09/24
스포츠경영관리사,스포츠마케팅론,3,1,25,150,14/09/24
스포츠경영관리사,스포츠산업론,1,1,25,150,14/09/24
스포츠경영관리사,스포츠경영론,2,1,25,150,14/09/24
위험물산업기사,화재예방과소화방법,2,1,20,30,20/08/07
위험물산업기사,일반화학,1,1,20,30,20/08/07
위험물산업기사,위험물의성질과취급,3,1,20,30,20/08/07
위험물기능장,과목없음,1,1,60,60,18/01/12
광해방지기사,환경지구화학,4,1,20,30,14/09/24
광해방지기사,오염탐지공학,3,1,20,30,14/09/24
광해방지기사,사면 및 굴착공학,2,1,20,30,14/09/24
광해방지기사,광산환경일반,1,1,20,30,14/09/24
유기농업기능사,과목없음,1,1,60,60,14/09/24
공기압축기운전기능사,과목없음,1,1,60,60,14/09/24
자동차정비기사,자동차새시,4,1,20,30,14/09/24
자동차정비기사,일반기계공학,1,1,20,30,14/09/24
자동차정비기사,자동차전기,5,1,20,30,14/09/24
자동차정비기사,자동차기관,3,1,20,30,14/09/24
자동차정비기사,기계열역학,2,1,20,30,14/09/24
게임기획전문가,게임시스템및연출,4,1,25,150,14/09/24
게임기획전문가,게임디자인,3,1,25,150,14/09/24
게임기획전문가,게임시나리오분석,2,1,25,150,14/09/24
게임기획전문가,게임제작개론,1,1,25,150,14/09/24
생산자동화기능사,과목없음,1,1,60,60,14/09/24
패션머천다이징산업기사,패션정보분석,1,1,20,30,20/08/07
항로표지기사,전파표지및시스템이용,4,1,20,30,14/09/24
항로표지기사,"광파,음파표지",3,1,20,30,14/09/24
항로표지기사,"전기,전자기초",2,1,20,30,14/09/24
항로표지기사,항로표지일반,1,1,20,30,14/09/24
항로표지산업기사,전파표지및시스템이용,4,1,20,30,20/08/07
항로표지산업기사,"광파,음파표지",3,1,20,30,20/08/07
항로표지산업기사,"전기,전자기초",2,1,20,30,20/08/07
항로표지산업기사,항로표지일반,1,1,20,30,20/08/07
항로표지기능사,과목없음,1,1,60,60,14/09/24
컬러리스트기사,색채체계론,5,1,20,30,14/09/24
컬러리스트기사,색채지각론,4,1,20,30,14/09/24
컬러리스트기사,색채관리,3,1,20,30,14/09/24
컬러리스트기사,색채디자인,2,1,20,30,14/09/24
컬러리스트기사,색채심리.마케팅,1,1,20,30,14/09/24
천장크레인운전기능사,과목없음,1,1,60,60,14/09/24
유기농업기사,유기농업관련 규정,5,1,20,30,14/09/24
유기농업기사,유기식품 가공 유통론,4,1,20,30,14/09/24
유기농업기사,유기농업개론,3,1,20,30,14/09/24
유기농업기사,토양비옥도 및 관리,2,1,20,30,14/09/24
유기농업기사,재배원론,1,1,20,30,14/09/24
유기농업산업기사,유기식품 가공 유통론,4,1,20,30,20/08/07
유기농업산업기사,유기농업개론,3,1,20,30,20/08/07
유기농업산업기사,토양비옥도 및 관리,2,1,20,30,20/08/07
유기농업산업기사,재배원론,1,1,20,30,20/08/07
생물분류기사(식물),자연환경관계법규,5,1,20,30,14/09/24
생물분류기사(식물),보전 및 자원생물학,4,1,20,30,14/09/24
생물분류기사(식물),형태학,3,1,20,30,14/09/24
