종목명,항목,내용
가스기술사,개요,"사용량이 점차 증가하고 대형화 복잡화 다양화되는 가스 설비에 대하여 가스제조 작업 의 기기안전, 취급안전, 제조 안전에 대한 사항과 고압가스 안전관리, 가스사업 및 도 시가스 사업에 대한 지식을 익힘으로써 가스로 인한 폭발, 화재, 독성물질 누출 등의  중대사고(Major Accident)를 예방하기 위하여 각종 규제대책과 제반시설의 검사 등 산 업안전관리를 담당할 전문인력을 양성하고자 자격제도 제정. "
가스기술사,변천과정,’83.12.20.대통령령 제11281호’91.10.31.대통령령 제13494호현재안전관리기술사(가스)가스기술사가스기술사
가스기술사,수행직무,"가스분야에 관한 고도의 전문지식과 실무경험에 입각한 계획, 연구, 설계, 분석, 시험,  운영, 시공, 평가 또는 이에 관한 지도, 감리등의 기술 업무 수행 "
가스기술사,실시기관 홈페이지,http://www.q-net.or.kr
가스기술사,실시기관명,한국산업인력공단 
가스기술사,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1건설기계관리법 시행규칙제33조 검사대행자등(별표9)건설기계검사대행자의인력기준2건설기술진흥법시행령제4조 건설기술자의 범위(별표1)건설기술자의 범위3건설기술진흥법시행규칙제5조건설기술연구·개발사업의협약체결대상기관등국토해양부령이 정하는 기관·협회·학회4건설기술진흥법시행규칙제50조품질시험및검사의실시(별표5)건설공사 품질관리를 위한 품질관리자의 배치기준5건설산업기본법 시행령제13조 건설업의 등록기준(별표2)건설업의 등록기준6건설산업기본법 시행령제35조 건설기술자의 현장배치기준등(별표5)공사예정금액의 규모별 건설기술자 배치기준7건축사법제2조 정의건축사보의 정의8경찰공무원임용령제16조 특별채용의 요건특별채용의 자격9고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제10고압가스 안전관리법 시행령제12조 안전관리자의 종류 및 자격 등(별표3)안전관리자의 자격, 선임인원11고압가스 안전관리법 시행령제23조의2 가스기술기준위원회 위원의 선임 등가스기술기준위원회의위촉위원12고압가스 안전관리법 시행규칙제58조 검사기관의 지정 등(별표36)전문검사기관, 공인검사기관의 기술인력13고압가스 안전관리법 시행규칙제61조 검사원 등(별표36)한국가스안전공사가 실시하는 각종 검사업무를 하는 검사원14공무원수당 등에 관한 규정제14조 특수업무수당(별표11)특수업무수당지급15공무원임용시험령제27조 특별채용시험의 응시자격 등(별표7, 8)특별채용시험에 응시16공무원임용시험령제31조 채용시험의 특전(별표12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증17공연법 시행령제10조의4무대예술전문인자격검정의응시기준(별표2)무대예술전문인 자격검정의 등급별 응시기준18공연법 시행규칙제6조의4무대예술전문인자격검정의응시무대예술전문인의 자격검정에 응시하고자 하는 자의 자격19공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우20공직자윤리법의 시행에 관한 대법원규칙제37조취업승인신청퇴직공직자의 취업승인 요건21공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건22과학기술인공제회법제6조 회원의 자격공제회의 회원 자격23광업법 시행령제11조 현장조사를 하지 아니하는 사유단서에 따라 현장조사를 하지 아니하는 사유24교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격25교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정26국가공무원법제36조의2 채용시험의 가점채용시험의 가점27국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제2조 이공계인력의 범위 등이공계인력의 정의28국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제6조 실태조사의 시기 및 방법 등이공계분야의 박사학위를 취득한 자 및 주요 이공계인력의 정의29국가과학기술 경쟁력강화를 위한 이공계지원특별법제16조 기업의 이공계인력의 활용지원국가 및 지방자치단체는 벤처기업이 미취업상태에 있는 이공계 석사학위·박사학위를 취득한 자 또는 기술사자격을 취득한 자를 채용하는 경우 예산의 범위안에서 재정지원을 하거나 조세관계 법률이 정하는 바에 따라 세금감면 등 필요한 지원을 할 수 있음30국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제20조 연구기획평가사의 자격시험연구기획평가사 자격시험 일부 면제31국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대32국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대33국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격34국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산35국외유학에 관한 규정제5조 자비유학자격자비유학을 할수 있는자36국회인사규칙제20조경력경쟁채용등의요건동종직무에 관한 자격증소지자를 특별채용하는 경우37군무원인사법 시행령제10조 특별채용 요건특별채용시험에 의하여 신규채용할 수 있는 자격38군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제39군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산40군인사법 시행령제44조 전역보류(별표2, 5)정밀장비기술자, 군의 필수기술분야에 종사하는 자의 범위41군인사법 시행규칙제14조 부사관의 임용부사관의 자격42근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의43근로자직업능력 개발법 시행령제28조직업능력개발훈련교사의자격취득(별표2)직업능력개발훈련교사의자격44근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자45근로자직업능력 개발법 시행령제42조교원등의자격(별표4)기능대학의 교원 자격46근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대47기간제 및 단시간근로자 보호 등에 관한 법률 시행령제3조 기간제근로자 사용기간 제한의 예외기간제근로자 사용기간 제한의 예외48기술사법제2조 정의기술사의 정의49기술사법제6조 기술사사무소의 개설 등록등합동기술사 사무소 개설에 필요한 자격50기술사법제11조 서명날인기술사가 설계도서등을 작성하거나 제작, 일부를 변경한 경우 그 설계도서등에 서명날인할 때 자격의 해당 기술분야 및 자격종목 명시51기술사법제15조 기술사회 회원기술사회원 자격52기술사법 시행령제19조 합동기술사사무소의 등록기준 등합동사무소구성원의 요건53기술심리관규칙제2조 기술심리관의 자격기술심리관의 자격54기술의 이전 및 사업화 촉진에 관한 법률 시행령제16조 기술거래기관의 지정기준 등기술거래기관에 필요한 인력기준55기술의 이전 및 사업화 촉진에 관한 법률 시행령제32조 기술평가기관의 지정기준 등기술평가를 위한 전담인력 및 담당조직 등 대통령령이 정하는 기준을 갖춘 기관에 필요한 인력기준56도시가스사업법 시행령제15조 안전관리자의 종류 및 자격 등(별표1)안전관리자의 자격57도시가스사업법 시행규칙제47조 가스사용시설 안전관리업무 대행자의 자격가스사용시설 안전관리업무 대행자 자격58독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자59독학에 의한 학위취득에 관한 법률 시행규칙제4조 국가기술자격취득자에 대한 시험면제범위등자격취득분야와 동일한 분야의 시험에 응시하는 자에 대하여는 해당 과정별 인정시험 면제60문화산업진흥 기본법 시행령제26조 기업부설창작연구소 등의 인력ㆍ시설 등의 기준기업부설창작연구소의 인력기준61방위사업법제6조 청렴서약제 및 옴부즈만제도옴부즈만의 자격62병역법제53조 전시근로소집 대상 등전시근로소집 대상63병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원64부품·소재전문기업 등의 육성에 관한 특별조치법 시행령제14조 부품·소재기술개발전문기업의 지원기준 등부품·소재기술개발전문기업의 기술개발전담요원65비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위66산업디자인진흥법시행령제4조 연구 및 진흥사업의 참여기관등산업디자인에 관한 연구 및 진흥사업의 참여기관67산업안전보건법 시행령제26조의10안전ㆍ보건교육의위탁전문기관및요건(별표6의3)안전ㆍ보건교육의 위탁 전문기관의 요건68산업안전보건법 시행규칙제17조 안전관리대행기관의 인력·시설 및 장비기준(별표5)안전관리대행기관의 인력기준69산업안전보건법 시행규칙제75조 지정검사기관의 지정요건(별표10)지정검사기관의 인력기준70산지관리법 시행령제28조 중앙산지관리위원회의 구성중앙산지관리위원회 위원71산지관리법 시행령제31조 지방산지관리위원회의 설치ㆍ운영 등지방산지관리위원회의 위원72석탄산업법 시행령제44조 실지조사할 자의 자격실지조사를 할 자로 지정받을 수 있는 자73선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제74소방공무원 승진임용 규정 시행규칙제15조의2 가점평정(별표5)소방공무원이 당해 계급에서 자격증을 취득한 때 가점평정75소방공무원임용령제15조 특별채용의 요건등특별채용의 요건76소방공무원임용령 시행규칙제23조 응시자격등의 기준(별표2)특별채용시험에 응시할 수 있는 자77소방기본법 시행규칙제12조 화재조사전담부서의 설치ㆍ운영 등화재조사전담부서의 장78소방시설 설치유지 및 안전관리에 관한 법률 시행령제23조 소방안전관리자의 선임대상자소방안전관리자의 자격79소방시설공사업법 시행규칙제24조소방기술과관련된자격ㆍ학력및경력의인정범위등(별표4의2)소방기술과 관련된 자격의 인정 범위80액화석유가스의 안전관리 및 사업법 시행령제5조 안전관리자의 종류 등(별표1)안전관리자의 자격81에너지이용 합리화법 시행령제30조 에너지절약전문기업의 등록 등(별표2)에너지절약전문기업으로 등록을 하려는 자82에너지이용 합리화법 시행령제39조 진단기관의 지정기준(별표4)진단기관이보유하여야하는기술인력83엔지니어링기술 진흥법제3조의6 기술사의 고용확대정부가 엔지니어링활동주체의 기술사 고용 확대 권장84엔지니어링산업진흥법제13조 엔지니어링전문인력의양성 등정부가 엔지니어링활동주체의 기술사 고용 확대 권장85엔지니어링산업진흥법시행규칙제7조 엔지니어링사업자 신고(별표3)엔지니어링사업자의신고기술인력86연구실 안전환경 조성에 관한 법률 시행령제10조 정밀안전진단을 실시할 수 있는 자의 자격정밀안전진단을 실시할 수 있는 자의 자격87연구직 및 지도직공무원의 임용 등에 관한 규정제7조의2 특별채용시험의 응시자격(별표2의5)연구직 또는 지도직공무원의 특별채용시험 응시 자격88연구직 및 지도직공무원의 임용 등에 관한 규정제12조 전직시험의 면제(별표2의5)전직시험없이 전직임용 자격89연구직 및 지도직공무원의 임용 등에 관한 규정제26조의2 채용시험의 특전(별표5, 7)연구사 및 지도사공무원 채용시험 응시하는 경우 점수 가산90원자력안전법시행령제118조응시자격(별표5)원자력관계종사자의 면허시험 응시자격91유해·위험작업의 취업제한에 관한 규칙제4조 자격취득등을 위한 교육기관(별표1의2)지정교육기관의 인력기준92자연재해대책법 시행령제32조의2 대행자의 등록요건 등(별표3)방재안전대책수립대행자 등록요건93장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력94전력기술관리법 시행령제27조 설계업ㆍ감리업의 종류별 등록 기준 등(별표4, 5)설계업 또는 감리업 등록을 하려는 자의 인력 요건95조세특례제한법 시행령제5조 창업중소기업 등에 대한 세액감면창업중소기업 등에 대한 세액감면96주택법 시행령제62조의14하자진단및하자감정안전진단기관의 자격97중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원98중소기업제품 구매촉진 및 판로지원에 관한 법률 시행규칙제12조시험연구원의지정등(별표3)시험연구원의 지정기준99중소기업진흥에 관한 법률제48조 1차 시험의 면제1차 시험을 면제100중소기업창업 지원법 시행령제6조 창업보육센터사업자의 지정(별표1)창업보육센터사업자의 전문인력101중소기업창업 지원법 시행령제9조 창업투자회사의 등록요건창업토자회사 전문인력102중소기업창업 지원법 시행령제20조 중소기업상담회사의 등록요건(별표1)중소기업상담회사가 보유하여야 하는 전문인력103지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산104지방공무원 임용령제17조경력경쟁임용시험등을통한임용의요건특별임용 하려는 경우105지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산106지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정107지방자치단체를당사자로하는계약에관한법률시행령제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준108지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원109지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산110지방자치법 시행령제26조 감사청구심의회감사청구심의회의 위원111지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원112지하수법 시행령제32조 지하수개발ㆍ이용시공업의 등록등(별표4)지하수개발·이용시공업의 등록 기준113폐기물관리법 시행령제16조 기술관리대행자폐기물처리시설의 유지·관리에 관한 기술관리를 대행할 수 있는 자114해양경찰청소속경찰공무원승진임용규정시행규칙제15조 가점평정(별표7)가점평정115해양환경관리법 시행규칙제23조 오염물질저장시설의 설치ㆍ운영기준(별표10)오염물질저장시설의 설치기준116해외건설촉진법 시행령제5조 해외건설업의 업종 및 자격(별표2)해외건설업의 신고 자격117헌법재판소공무원수당등에관한규칙제6조 특수업무수당(별표2)특수업무수당지급※ 한국산업인력공단에서는 국민 알권리 충족 및 정보 공개의 확대를 위하여 위 정보를 제공하고 있습니다. 단, 세부 법령에 대한 유권해석 및 적용 관련 사항에 대한 정확한 안내는 관련법을 제정한 소관부처에서 가능하니 참고하시기 바랍니다. 업데이트 일자: '14.7.13"
가스기술사,진로 및 전망," 고압가스 제조·저장·사용 및 판매업체에 취업할 수 있으며, 이밖에 한국가스공사, 한   국가스안전공사 및 관련 연구소로 진출할 수 있다. - 최근 국민생활수준의 향상과 산업의 발달로 연료용 및 산업용 가스의 수습규모가 대   형화되고, 가스시설의 복잡·다양화됨에 따라 가스사고건수가 급증하고 사고 규모도    대형화되는 추세이다. 또한 가스설비의 경우 유해·위험물질을 다량으로 취급할 뿐만    아니라 복잡하고 정밀한 장치나 설비가 자동제어되는 연속공정"
가스기술사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 대학 및 전문대학의 기계공학, 화학공학 가스냉동학, 가스산업학               관련학과③ 시험과목 : 안전관리일반(사고원인 분석, 대책, 점검 및 조사방법), 산업안전공학,               가스관계 및 산업안전관계법규, 고압가스설계와 시공 및 가스공업의               안전운영에 관한 계획 및 관리와 조사, 기타 안전에 관한 사항. ④ 검정방법   - 필기 : 단답형 및 주관식 논술형(매교시당 100분 총 400분)   - 면접 : 구술형 면접시험(30분 정도)⑤ 합격기준 : 100점을 만점에 60점 이상 "
건설기계기술사,개요,"국내 건설기계 생산기술은 범용부품의 경우 선진국 수준에 근접하고 있으나, 엔진, 유 압장치 등 주요 핵심부품은 낙후된 상태에 머물러 있다. 특히 시스템 디자인, 인간공 학 설계기술, 전자제어기술 등은 크게 뒤쳐져 있다.  이에 따라 건설기계의 기술향상 을 위하여 기계에 관한 공학적인 이론을 바탕으로 건설기계와 관련한 공정, 기술과 관 련된 직무를 수행할 전문적 지식과 풍부한 실무경험을 갖춘 기술인을 배출하기 위해 자 격을 제정. "
건설기계기술사,변천과정,’74.10.16. 대통령령 제7283호’77.12.31. 대통령령 제8799호’91.10.31. 대통령령 제13494호’95.10.16.대통령령 제14783호현재기계기술사(건설기계)건설기계기술사(산업기계)산업기계기술사건설기계기술사건설기계기술사
