경기장,직종,인원
서울공업고등학교,배관,7
서울공업고등학교,판금철골구조물,5
서울공업고등학교,산업제어,7
서울공업고등학교,금형,12
서울공업고등학교,용접,13
서울공업고등학교,자동차차체수리,10
서울공업고등학교,건축설계/CAD,19
서울공업고등학교,석공예,6
서울공업고등학교,IT네트워크시스템,14
서울공업고등학교,그래픽디자인,15
서울공업고등학교,제품디자인,16
서울공업고등학교,헤어디자인,13
서울공업고등학교,도자기,7
서울공업고등학교,화훼장식,20
경기기계공업고등학교,프로토타입모델링,7
경기기계공업고등학교,폴리메카닉스,8
경기기계공업고등학교,CNC선반,10
경기기계공업고등학교,웹디자인 및 개발,14
경기기계공업고등학교,애니메이션,23
경기기계공업고등학교,전기제어,7
경기기계공업고등학교,의상디자인,19
경기기계공업고등학교,한복,21
용산공업고등학교,CNC밀링,5
용산공업고등학교,조적,5
용산공업고등학교,자동차페인팅,9
용산공업고등학교,주조,9
용산공업고등학교,전기기기,15
용산공업고등학교,공업전자기기,15
용산공업고등학교,정보기술,29
한양공업고등학교,기계설계/CAD,9
한양공업고등학교,자동차정비,8
한양공업고등학교,목공,7
한양공업고등학교,실내장식,6
성동공업고등학교,귀금속공예,10
성동공업고등학교,보석가공,7
성동공업고등학교,통신망분배기술,8
성동공업고등학교,게임개발,49
성동공업고등학교,메카트로닉스,16
서울로봇고등학교,산업용로봇,4
서울로봇고등학교,모바일로보틱스,12
인덕공업고등학교,미장,8
인덕공업고등학교,타일,8
서울특별시 남부기술교육원,가구,8
서울특별시 남부기술교육원,목공예,5
한국산업인력공단 서울지역본부,요리,25
한국산업인력공단 서울지역본부,피부미용,12
한국산업인력공단 서울남부지사,제과,18
한국산업인력공단 서울남부지사,제빵,6
부산기계공업고등학교,CNC선반,4
부산기계공업고등학교,CNC밀링,4
부산기계공업고등학교,기계설계/CAD,11
부산기계공업고등학교,냉동기술,5
부산기계공업고등학교,메카트로닉스,10
부산기계공업고등학교,배관,6
부산기계공업고등학교,전기제어,10
부산기계공업고등학교,용접,11
부산기계공업고등학교,의상디자인,6
부산기계공업고등학교,판금철골구조물,8
부산기계공업고등학교,폴리메카닉스,6
부산기계공업고등학교,한복,17
부산기계공업고등학교,헤어디자인,4
부산기계공업고등학교,화훼장식,8
부산기계공업고등학교,공업전자기기,5
경남공업고등학교,산업제어,9
경남공업고등학교,모바일로보틱스,10
경남공업고등학교,산업용로봇,7
경남공업고등학교,전기기기,8
경남공업고등학교,타일,9
경남공업고등학교,정보기술,10
경남공업고등학교,게임개발,7
경남공업고등학교,웹디자인및개발,14
한국조형예술고등학교,그래픽디자인,4
한국조형예술고등학교,도자기,11
한국조형예술고등학교,목공예,7
한국조형예술고등학교,석공예,4
한국조형예술고등학교,가구,7
한국조형예술고등학교,목공,4
부산공업고등학교,건축설계/CAD,9
부산공업고등학교,금형,7
부산공업고등학교,주조,7
부산공업고등학교,귀금속공예,9
부산공업고등학교,보석가공,7
부산전자공업고등학교,IT네트워크시스템,8
부산전자공업고등학교,통신망분배기술,8
부산전자공업고등학교,제품디자인,12
부산전자공업고등학교,프로토타입모델링,7
부산자동차고등학교,자동차차체수리,21
부산자동차고등학교,자동차페인팅,21
부산자동차고등학교,자동차정비,14
부산여자대학교,요리,11
부산여자대학교,제과,4
부산여자대학교,제빵,5
경북기계공업고등학교,폴리메카닉스,7
경북기계공업고등학교,금형,11
경북기계공업고등학교,기계설계/CAD,12
경북기계공업고등학교,CNC/밀링,9
경북기계공업고등학교,CNC/선반,15
경북기계공업고등학교,메카트로닉스,14
경북기계공업고등학교,프로토타입모델링,7
경북기계공업고등학교,공업전자기기,7
경북기계공업고등학교,전기제어,8
경북기계공업고등학교,산업제어,13
경북기계공업고등학교,제품디자인,7
경북기계공업고등학교,도자기,7
