종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
산업기사합계,전체,전체,12159686,9348504,3039281,32.5,4780386,3957114,1772275,44.8,2102330
산업기사합계,2015(누적),전체,10757524,8272404,2633382,31.8,4151893,3421782,1518001,44.4,1841641
산업기사합계,2016,전체,279829,215050,74229,34.5,112506,96680,47488,49.1,48963
산업기사합계,2016,여자,48788,38727,16074,41.5,23440,19540,10699,54.8,10746
산업기사합계,2017,전체,280226,215033,77329,36,116697,100663,47739,47.4,49077
산업기사합계,2017,여자,46083,36330,15188,41.8,21501,18164,9248,50.9,9308
산업기사합계,2018,전체,274220,210814,78209,37.1,119178,101949,49993,49,51538
산업기사합계,2018,여자,44701,35203,15869,45.1,22563,19153,9992,52.2,10040
산업기사합계,2019,전체,307010,233938,90710,38.8,134739,115773,56105,48.5,57528
산업기사합계,2019,여자,47840,37442,17880,47.8,24641,20859,11060,53,11091
산업기사합계,2020,전체,260877,201265,85422,42.4,145373,120267,52949,44,53583
산업기사합계,2020,여자,41086,31863,16450,51.6,25986,21449,10997,51.3,11052
생산관리분야,전체,전체,167121,125367,38592,30.8,52258,45548,17801,39.1,28307
생산관리분야,2015(누적),전체,159851,120173,36340,30.2,49158,42916,16433,38.3,26939
생산관리분야,2016,전체,1574,1136,470,41.4,576,505,306,60.6,306
생산관리분야,2016,여자,333,249,123,49.4,143,116,71,61.2,71
생산관리분야,2017,전체,1672,1206,605,50.2,761,674,363,53.9,363
생산관리분야,2017,여자,388,284,154,54.2,175,153,82,53.6,82
생산관리분야,2018,전체,1442,1031,417,40.4,627,514,270,52.5,270
생산관리분야,2018,여자,337,233,102,43.8,148,122,62,50.8,62
생산관리분야,2019,전체,1468,1037,424,40.9,582,494,222,44.9,222
생산관리분야,2019,여자,371,274,125,45.6,154,126,59,46.8,59
생산관리분야,2020,전체,1114,784,336,42.9,554,445,207,46.5,207
생산관리분야,2020,여자,315,215,101,47,161,133,66,49.6,66
공정관리,전체,전체,23863,19288,4914,25.5,822,738,275,37.3,0
공정관리,2015(누적),전체,23863,19288,4914,25.5,822,738,275,37.3,0
품질경영,전체,전체,24600,17088,5650,33.1,9043,7387,3340,45.2,28259
품질경영,2015(누적),전체,17436,11979,3432,28.7,5978,4786,1980,41.4,26899
품질경영,2016,전체,1554,1121,464,41.4,571,501,304,60.7,304
품질경영,2016,여자,328,245,121,49.4,142,116,71,61.2,71
품질경영,2017,전체,1650,1189,597,50.2,754,667,362,54.3,362
품질경영,2017,여자,381,277,149,53.8,170,148,82,55.4,82
품질경영,2018,전체,1425,1017,413,40.6,621,509,269,52.8,269
품질경영,2018,여자,332,229,101,44.1,144,119,61,51.3,61
품질경영,2019,전체,1443,1015,413,40.7,573,485,218,44.9,218
품질경영,2019,여자,363,268,120,44.8,150,122,59,48.4,59
품질경영,2020,전체,1092,767,331,43.2,546,439,207,47.2,207
품질경영,2020,여자,308,210,99,47.1,159,131,66,50.4,66
포장,전체,전체,3823,3230,543,16.8,270,241,48,19.9,48
포장,2015(누적),전체,3717,3145,509,16.2,235,210,40,19,40
포장,2016,전체,20,15,6,40,5,4,2,50,2
포장,2016,여자,5,4,2,50,1,0,0,0,0
포장,2017,전체,22,17,8,47.1,7,7,1,14.3,1
포장,2017,여자,7,7,5,71.4,5,5,0,0,0
포장,2018,전체,17,14,4,28.6,6,5,1,20,1
포장,2018,여자,5,4,1,25,4,3,1,33.3,1
포장,2019,전체,25,22,11,50,9,9,4,44.4,4
포장,2019,여자,8,6,5,83.3,4,4,0,0,0
포장,2020,전체,22,17,5,29.4,8,6,0,0,0
포장,2020,여자,7,5,2,40,2,2,0,0,0
품질관리,전체,전체,114817,85746,27483,32.1,42122,37181,14138,38,0
품질관리,2015(누적),전체,114817,85746,27483,32.1,42122,37181,14138,38,0
포장기능사1급,전체,전체,18,15,2,13.3,1,1,0,0,0
포장기능사1급,2015(누적),전체,18,15,2,13.3,1,1,0,0,0
디자인분야,전체,전체,159309,127464,74584,58.5,89620,74201,38368,51.7,39158
디자인분야,2015(누적),전체,136258,108834,62862,57.8,75609,62217,32284,51.9,33062
디자인분야,2016,전체,5683,4605,3034,65.9,3354,2909,1541,53,1545
