종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
이용.미용분야,1975,2019,전체,10625,9765,6096,62.4,12287,10593,1823,17.2,1823
이용.미용분야,1975,2015,전체,8045,7373,4426,60,8770,7435,1260,16.9,1260
이용.미용분야,2015,2015,전체,503,465,330,71,627,558,109,19.5,109
이용.미용분야,2015,2015,여,434,403,287,71.2,562,497,94,18.9,94
이용.미용분야,2016,2016,전체,517,482,358,74.3,713,642,123,19.2,123
이용.미용분야,2016,2016,여,449,418,315,75.4,641,578,111,19.2,111
이용.미용분야,2017,2017,전체,521,481,359,74.6,746,676,131,19.4,131
이용.미용분야,2017,2017,여,463,428,323,75.5,669,608,113,18.6,113
이용.미용분야,2018,2018,전체,473,447,309,69.1,757,683,94,13.8,94
이용.미용분야,2018,2018,여,418,395,279,70.6,681,614,87,14.2,87
이용.미용분야,2019,2019,전체,566,517,314,60.7,674,599,106,17.7,106
이용.미용분야,2019,2019,여,492,446,275,61.7,597,531,97,18.3,97
미용장,1975,2019,전체,8615,7883,4795,60.8,10063,8628,1217,14.1,1217
미용장,1975,2014,전체,6831,6236,3708,59.5,7557,6361,874,13.7,874
미용장,2015,2015,전체,384,356,237,66.6,483,425,58,13.6,58
미용장,2015,2015,여,349,325,217,66.8,457,401,55,13.7,55
미용장,2016,2016,전체,351,324,237,73.1,542,491,77,15.7,77
미용장,2016,2016,여,323,300,220,73.3,514,467,75,16.1,75
미용장,2017,2017,전체,368,337,241,71.5,544,500,85,17,85
미용장,2017,2017,여,342,315,226,71.7,513,475,80,16.8,80
미용장,2018,2018,전체,301,284,181,63.7,508,460,59,12.8,59
미용장,2018,2018,여,282,266,173,65,485,440,59,13.4,59
미용장,2019,2019,전체,380,346,191,55.2,429,391,64,16.4,64
미용장,2019,2019,여,347,316,175,55.4,400,365,61,16.7,61
이용장,1975,2019,전체,2010,1882,1301,69.1,2224,1965,606,30.8,606
이용장,1975,2014,전체,1214,1137,718,63.1,1213,1074,386,35.9,386
이용장,2015,2015,전체,119,109,93,85.3,144,133,51,38.3,51
이용장,2015,2015,여,85,78,70,89.7,105,96,39,40.6,39
이용장,2016,2016,전체,166,158,121,76.6,171,151,46,30.5,46
이용장,2016,2016,여,126,118,95,80.5,127,111,36,32.4,36
이용장,2017,2017,전체,153,144,118,81.9,202,176,46,26.1,46
이용장,2017,2017,여,121,113,97,85.8,156,133,33,24.8,33
이용장,2018,2018,전체,172,163,128,78.5,249,223,35,15.7,35
이용장,2018,2018,여,136,129,106,82.2,196,174,28,16.1,28
이용장,2019,2019,전체,186,171,123,71.9,245,208,42,20.2,42
이용장,2019,2019,여,145,130,100,76.9,197,166,36,21.7,36
조리분야,1975,2019,전체,9880,8724,3553,40.7,7534,6425,740,11.5,740
조리분야,1975,2014,전체,6727,5950,2515,42.3,5214,4371,516,11.8,516
조리분야,2015,2015,전체,637,572,245,42.8,506,433,46,10.6,46
조리분야,2015,2015,여,225,202,124,61.4,269,228,27,11.8,27
조리분야,2016,2016,전체,618,541,176,32.5,452,401,42,10.5,42
조리분야,2016,2016,여,234,206,103,50,245,220,20,9.1,20
조리분야,2017,2017,전체,611,522,165,31.6,404,358,56,15.6,56
조리분야,2017,2017,여,253,219,102,46.6,240,216,34,15.7,34
