종목명,항목,내용
가스기능장,개요,"사용량이 증가하는 가스와 대형화 복잡화 다양화되는 가스 설비에 대하여 가스제조 작업 의 기기안전, 취급안전, 제조 안전에 대한 사항과 고압가스 안전관리, 가스사업 및 도 시가스 사업에 대한 지식을 익힘으로써 가스로 인한 폭발, 화재, 독성물질 누출 등의  중대사고(Major Accident)를 예방하기 위하여 각종 규제대책과 제반시설의 검사 등 산 업안전관리를 담당할 전문화된 기능인력을 양성하고자 자격제도 제정. "
가스기능장,변천과정,’74.10.16. 대통령령 제7283호95.10.16. 대통령령 제14783호’98.05.09. 대통령령 제15794호현재고압가스화학기능장고압가스기능장가스기능장가스기능장고압가스기계기능장
가스기능장,수행직무,"고압가스에 관한 최상급 숙련기능을 가지고 산업현장에서 작업관리, 현장 기능자의 지 도 및 감독, 현장훈련, 경영층과 생산층을 유기적으로 결합시켜 주는 현장의 중간 관 리 등의 업무 수행. "
가스기능장,실시기관 홈페이지,http://www.q-net.or.kr
가스기능장,실시기관명,한국산업인력공단 
가스기능장,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1건설기계관리법 시행규칙제33조 검사대행자등(별표9)건설기계검사대행자의인력기준2건설산업기본법 시행규칙제25조의3 건설사업관리관련 인력건설사업관리관련 인력3건설산업기본법 시행령제13조 건설업의 등록기준(별표2)건설업의 등록기준4건설산업기본법 시행령제35조 건설기술자의 현장배치기준등(별표5)공사예정금액의 규모별 건설기술자 배치기준5경찰공무원임용령제16조 특별채용의 요건특별채용의 자격6고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제7고압가스 안전관리법 시행령제12조 안전관리자의 종류 및 자격 등(별표3)안전관리자의 자격, 선임인원8고압가스 안전관리법 시행규칙제58조 검사기관의 지정 등(별표36)전문검사기관, 공인검사기관의 기술인력9고압가스 안전관리법 시행규칙제61조 검사원 등(별표36)한국가스안전공사가 실시하는 각종 검사업무를 하는 검사원10공무원수당 등에 관한 규정제14조 특수업무수당(별표11)특수업무수당지급11공무원임용시험령제27조 특별채용시험의 응시자격 등(별표7, 8)특별채용시험에 응시12공무원임용시험령제31조 채용시험의 특전(별표12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증13공연법 시행령제10조의4무대예술전문인자격검정의응시기준(별표2)무대예술전문인 자격검정의 등급별 응시기준14공연법 시행규칙제6조의4무대예술전문인자격검정의응시무대예술전문인의 자격검정에 응시하고자 하는 자의 자격15공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우16공직자윤리법의 시행에 관한 대법원규칙제37조취업승인신청퇴직공직자의 취업승인 요건17공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건18교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격19교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정20국가공무원법제36조의2 채용시험의 가점채용시험의 가점21국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제2조 이공계인력의 범위 등이공계인력의 정의22국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제20조 연구기획평가사의 자격시험연구기획평가사 자격시험 일부 면제23국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대24국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대25국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격26국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산27국외유학에 관한 규정제5조 자비유학자격자비유학을 할수 있는자28국회인사규칙제20조경력경쟁채용등의요건동종직무에 관한 자격증소지자를 특별채용하는 경우29군무원인사법 시행령제10조 특별채용 요건특별채용시험에 의하여 신규채용할 수 있는 자격30군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제31군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산32군인사법 시행규칙제14조 부사관의 임용부사관의 자격33근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의34근로자직업능력 개발법 시행령제28조직업능력개발훈련교사의자격취득(별표2)직업능력개발훈련교사의자격35근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자36근로자직업능력 개발법 시행령제42조교원등의자격(별표4)기능대학의 교원 자격37근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대38도시가스사업법 시행령제15조 안전관리자의 종류 및 자격 등(별표1)안전관리자의 자격39도시가스사업법 시행규칙제47조 가스사용시설 안전관리업무 대행자의 자격가스사용시설 안전관리업무 대행자 자격40독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자41독학에 의한 학위취득에 관한 법률 시행규칙제4조 국가기술자격취득자에 대한 시험면제범위등자격취득분야와 동일한 분야의 시험에 응시하는 자에 대하여는 해당 과정별 인정시험 면제42문화산업진흥 기본법 시행령제26조 기업부설창작연구소 등의 인력ㆍ시설 등의 기준기업부설창작연구소의 인력기준43법원공무원규칙제19조 특별채용시험의 응시요건등(별표5의1)특별채용시험의 응시요건44병역법제53조 전시근로소집 대상 등전시근로소집 대상45병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원46부품·소재전문기업 등의 육성에 관한 특별조치법 시행령제14조 부품·소재기술개발전문기업의 지원기준 등부품·소재기술개발전문기업의 기술개발전담요원47비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위48산업안전보건법 시행령제26조의10안전ㆍ보건교육의위탁전문기관및요건(별표6의3)안전ㆍ보건교육의 위탁 전문기관의 요건49산업안전보건법 시행규칙제17조 안전관리대행기관의 인력·시설 및 장비기준(별표5)안전관리대행기관의 인력기준50산업안전보건법 시행규칙제75조 지정검사기관의 지정요건(별표10)지정검사기관의 인력기준51선거관리위원회 공무원평정규칙제23조자격증의가점(별표5)자격증의 가점평정52선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제53소방공무원임용령제15조 특별채용의 요건등특별채용의 요건54소방기본법 시행규칙제12조 화재조사전담부서의 설치ㆍ운영 등화재조사전담부서의 장55소방시설 설치유지 및 안전관리에 관한 법률 시행령제23조 소방안전관리자의 선임대상자소방안전관리자의 자격56소방시설공사업법 시행규칙제24조소방기술과관련된자격ㆍ학력및경력의인정범위등(별표4의2)소방기술과 관련된 자격의 인정 범위57안전행정부소관비상대비자원관리법시행규칙제2조 인력자원의 관리직종(별표)인력자원 관리직종의 자격 구분표58액화석유가스의 안전관리 및 사업법 시행령제5조 안전관리자의 종류 등(별표1)안전관리자의 자격59여성과학기술인육성및지원에관한법률시행령제2조 정의여성과학기술인의 자격60연구직 및 지도직공무원의 임용 등에 관한 규정제26조의2채용시험의특전(별표7)연구사 및 지도사공무원 채용시험 응시하는 경우 점수 가산61원자력안전법시행령제118조응시자격(별표5)원자력관계종사자의 면허시험 응시자격62장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력63중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원64중소기업제품 구매촉진 및 판로지원에 관한 법률 시행규칙제12조시험연구원의지정등(별표3)시험연구원의 지정기준65중소기업진흥에 관한 법률제48조 1차 시험의 면제1차 시험을 면제66중소기업창업 지원법 시행령제6조 창업보육센터사업자의 지정(별표1)창업보육센터사업자의 전문인력67중소기업창업 지원법 시행령제20조 중소기업상담회사의 등록요건(별표1)중소기업상담회사가 보유하여야 하는 전문인력68지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산69지방공무원 임용령제17조경력경쟁임용시험등을통한임용의요건특별임용 하려는 경우70지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산71지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정72지방자치단체를당사자로하는계약에관한법률시행령제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준73지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원74지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산75지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원76해양경찰청소속경찰공무원승진임용규정시행규칙제15조 가점평정(별표7)가점평정77해양환경관리법 시행규칙제23조 오염물질저장시설의 설치ㆍ운영기준(별표10)오염물질저장시설의 설치기준78헌법재판소공무원수당등에관한규칙제6조 특수업무수당(별표2)특수업무수당지급79헌법재판소 공무원 평정 규칙제23조 자격증가점(별표4)5급이하 및 기능직공무원 자격증 취득자 가점 평정※ 한국산업인력공단에서는 국민 알권리 충족 및 정보 공개의 확대를 위하여 위 정보를 제공하고 있습니다. 단, 세부 법령에 대한 유권해석 및 적용 관련 사항에 대한 정확한 안내는 관련법을 제정한 소관부처에서 가능하니 참고하시기 바랍니다. 업데이트 일자: '14.7.13"
가스기능장,진로 및 전망,"- 고압가스 제조업체·저장업체·판매업체에 기타 도시가스 사업소, 용기제조업소, 냉동기   계제조업체 등 전국의 고압가스 관련업체로 진출할 수 있다. - 최근 국민생활수준의 향상과 산업의 발달로 연료용 및 산업용 가스의 수급규모가 대   형화되고, 가스시설의 복잡·다양화됨에 따라 가스사고건수가 급증하고 사고 규모도    대형화되는 추세이다. 한국가스안전공사의 자료에 의하면 가스사고로 인한 인명피해   가 1997년 467명에서 1998년에는 551명으로 "
가스기능장,출제경향,"필답형 - 출제기준참조작업형 - 가스제조 및 가스설비, 운전, 저장 및 공급에 대한 취급과 가스장치의 고장 진단 및 유지관리와 가스기기 및 설비에 대한 검사업무 및 가스안전관리에 관한 업무를 수행할 수 있는지의 능력을 평가"
가스기능장,취득방법,"① 시 행 처 : 한국산업인력공단 ② 관련학과 : 실업계 고등학교 및 전문대학의 기계공학 또는 화학공학 관련학과 ③ 시험과목 - 필기 : 가스이론, 가스의 제조 및 설비, 가스안전관리 및 공업경영에 관한 사항 - 실기 : 가스 실무 ④ 검정방법 - 필기 : 객관식 4지 택일형, 60문항(60분) - 실기 : 복합형(필답형 1시간 30분 + 작업형1시간 30분 정도) ⑤ 합격기준 : 100점 만점에 60점 이상 득점자. "
건설기계정비기능장,개요,"도로, 항만, 댐, 고층건물 등 국내외 건설공사의 증가와 더불어 건설기계분야는 대형화, 다기능화, 전자기술을 이용한 고성능화가 이루어지는 등 기계의 종류 및 용도, 기술면에서 많은 변화를 가져왔다.  이에 따라 건설시공의 기계화를 추진시키고 건설사 업의 원활한 수행을 위하여 건설기계정비에 관한 지식과 기술을 겸비한 최고 수준의 전문기능인력을 양성하고자 자격을 제정. "
