종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률,실기시험접수,실기시험응시,실기시험합격,실기시험합격률,자격취득자현황(명)
전문사무합계,2016,전체,547704,374193,197851,52.9,414328,401267,137769,34.3,137769
전문사무합계,2016,여자,329069,223763,115730,51.7,239512,230240,82068,35.6,82068
전문사무합계,2017,전체,548405,445803,193868,43.5,403801,346417,133024,38.4,135538
전문사무합계,2017,여자,329360,265421,113101,42.6,235846,201794,78463,38.9,80602
전문사무합계,2018,전체,597348,479424,226538,47.3,478234,409760,139548,34.1,139548
전문사무합계,2018,여자,365553,291120,135644,46.6,285603,244275,85271,34.9,85272
전문사무합계,2019,전체,693606,552286,275548,49.9,602014,508984,174926,34.4,174926
전문사무합계,2019,여자,423051,334981,166545,49.7,364319,307699,108020,35.1,108020
전문사무합계,2020,전체,821855,619958,283332,45.7,640826,520583,177819,34.2,180475
전문사무합계,2020,여자,515779,386078,175751,45.5,394122,318968,112054,35.1,114295
경영분야,2016,전체,11975,9319,6270,67.3,7521,6156,3786,61.5,3786
경영분야,2016,여자,7355,5702,3807,66.8,4694,3854,2337,60.6,2337
경영분야,2017,전체,12919,9950,6893,69.3,8054,6682,4422,66.2,4422
경영분야,2017,여자,7919,6060,4143,68.4,4913,4073,2689,66,2689
경영분야,2018,전체,13937,10749,7323,68.1,8383,7037,3684,52.4,3684
경영분야,2018,여자,8572,6600,4504,68.2,5143,4309,2285,53,2285
경영분야,2019,전체,15438,11919,8299,69.6,9661,8159,4520,55.4,4520
경영분야,2019,여자,9484,7333,5173,70.5,6130,5180,2878,55.6,2878
경영분야,2020,전체,15870,12676,9510,75,11941,9958,6855,68.8,6855
경영분야,2020,여자,10657,8519,6433,75.5,8102,6770,4711,69.6,4711
사회조사분석사1급,2016,전체,177,123,83,67.5,127,108,34,31.5,34
사회조사분석사1급,2016,여자,94,58,35,60.3,66,54,19,35.2,19
사회조사분석사1급,2017,전체,147,104,77,74,125,107,25,23.4,25
사회조사분석사1급,2017,여자,76,55,40,72.7,60,48,9,18.8,9
사회조사분석사1급,2018,전체,168,129,74,57.4,109,100,14,14,14
사회조사분석사1급,2018,여자,100,80,47,58.8,67,63,11,17.5,11
사회조사분석사1급,2019,전체,177,131,83,63.4,121,96,26,27.1,26
사회조사분석사1급,2019,여자,99,69,39,56.5,61,50,14,28,14
사회조사분석사1급,2020,전체,125,93,58,62.4,93,84,12,14.3,12
사회조사분석사1급,2020,여자,72,51,31,60.8,47,41,5,12.2,5
사회조사분석사2급,2016,전체,9425,7254,4731,65.2,5380,4673,3204,68.6,3204
사회조사분석사2급,2016,여자,5607,4284,2727,63.7,3215,2808,1924,68.5,1924
사회조사분석사2급,2017,전체,10237,7752,5348,69,6119,5335,3731,69.9,3731
사회조사분석사2급,2017,여자,6116,4573,3083,67.4,3624,3163,2229,70.5,2229
사회조사분석사2급,2018,전체,11305,8629,5889,68.2,6722,5907,3234,54.7,3234
사회조사분석사2급,2018,여자,6920,5261,3539,67.3,4065,3587,1971,54.9,1971
사회조사분석사2급,2019,전체,12563,9635,6887,71.5,7791,6921,4029,58.2,4029
사회조사분석사2급,2019,여자,7768,5948,4224,71,4891,4366,2541,58.2,2541
사회조사분석사2급,2020,전체,13390,10589,7948,75.1,9887,8595,6072,70.6,6072
사회조사분석사2급,2020,여자,8968,7087,5310,74.9,6662,5826,4134,71,4134
컨벤션기획사1급,2016,전체,13,12,5,41.7,5,5,0,0,0
컨벤션기획사1급,2016,여자,6,5,3,60,3,3,0,0,0
컨벤션기획사1급,2017,전체,20,15,9,60,10,8,4,50,4
컨벤션기획사1급,2017,여자,13,9,6,66.7,5,4,3,75,3
컨벤션기획사1급,2018,전체,6,3,0,0,2,1,0,0,0
컨벤션기획사1급,2018,여자,4,2,0,0,0,0,0,0,0
컨벤션기획사1급,2019,전체,12,9,5,55.6,6,3,0,0,0
컨벤션기획사1급,2019,여자,9,7,3,42.9,3,1,0,0,0
컨벤션기획사1급,2020,전체,7,7,6,85.7,8,6,0,0,0
컨벤션기획사1급,2020,여자,5,5,4,80,5,5,0,0,0
컨벤션기획사2급,2016,전체,1468,1216,973,80,1111,722,260,36,260
컨벤션기획사2급,2016,여자,1073,891,726,81.5,826,546,204,37.4,204
컨벤션기획사2급,2017,전체,1319,1099,845,76.9,986,657,306,46.6,306
컨벤션기획사2급,2017,여자,983,826,648,78.5,725,486,229,47.1,229
컨벤션기획사2급,2018,전체,1290,1071,785,73.3,795,470,236,50.2,236
컨벤션기획사2급,2018,여자,990,829,631,76.1,612,367,185,50.4,185
컨벤션기획사2급,2019,전체,1303,1077,834,77.4,913,577,310,53.7,310
컨벤션기획사2급,2019,여자,936,779,626,80.4,718,445,240,53.9,240
컨벤션기획사2급,2020,전체,1451,1259,1115,88.6,1301,841,538,64,538
컨벤션기획사2급,2020,여자,1129,980,876,89.4,1005,648,441,68.1,441
