연번,대분류코드,대분류,소분류,한국어,발음
1,4,일상생활,"인사,소개",고맙습니다.,쎄쎄
2,4,일상생활,"인사,소개",그동안 수고하셨습니다 ,쩌똰 스잰 신쿠러
3,4,일상생활,"인사,소개",다음에 또 뵈요,쌰츠 짜이잰
4,4,일상생활,"인사,소개",다음에 오겠습니다. ,쌰츠 짜이라이
5,4,일상생활,"인사,소개",당신을 잊지 못할 것 입니다 ,워 부후이 왕찌 니더
6,4,일상생활,"인사,소개",당신의 상사는 ㅇㅇㅇ 입니다.,니더 쌍스 쓰 OOO
7,4,일상생활,"인사,소개",당신의 성공을 기원합니다 ,쭈니 청궁
8,4,일상생활,"인사,소개",동료 ,퉁쓰
9,4,일상생활,"인사,소개",만나서 반갑습니다.,짼따오 니 헌 까오씽
10,4,일상생활,"인사,소개",맛있게 드세요 ,칭만융
11,4,일상생활,"인사,소개",먼 길 오시느라고 수고하셨습니다.,왠또오 얼라이 신쿠러
12,4,일상생활,"인사,소개",미안합니다 ,뚜이부치
13,4,일상생활,"인사,소개",미안합니다. ,뚜이부치
14,4,일상생활,"인사,소개",방해해서 미안합니다. ,부 하오이쓰 다 라오러
15,4,일상생활,"인사,소개",사과를 받아주세요 ,칭 제써우 또우챈
16,4,일상생활,"인사,소개",사과하세요.,칭 또우챈
17,4,일상생활,"인사,소개",사장님 ,써장
18,4,일상생활,"인사,소개",식사하셨습니까 ?,츠판러마 ?
19,4,일상생활,"인사,소개",식사합시다 ,칭 융찬
20,4,일상생활,"인사,소개",안녕하세요 ㅇㅇㅇ입니다. ,"니하오, 워 쓰 OOO"
21,4,일상생활,"인사,소개",안녕히 가세요 ,칭 저우하오
22,4,일상생활,"인사,소개",안녕히 계세요,칭 둬 보오쭝
23,4,일상생활,"인사,소개",앞으로 좋은 관계를 유지할 수 있기를 바랍니다. ,시왕 넝 바오츠 량호 관시
24,4,일상생활,"인사,소개",약속을 지키지 못해 죄송합니다.,헌 바오챈 메이넝 서우웨
25,4,일상생활,"인사,소개",우리 회사에 오신 것을 환영합니다 ,환잉 라이또오 워먼 궁쓰
26,4,일상생활,"인사,소개",우리와 함께 잘 해봅시다.,허쭤 위콰이
27,4,일상생활,"인사,소개",이분들에게 인사드리세요 ,칭 썅 따쟈 다거 쪼후
28,4,일상생활,"인사,소개",이분은 함께 일하게 될 ㅇㅇㅇ입니다. ,쩌웨이 쓰 워먼더 씬 퉁쓰 OOO
29,4,일상생활,"인사,소개",이분을 소개합니다.,쩨싸오 이쌰 쩌웨이
30,4,일상생활,"인사,소개",인사 나누세요,칭 다거 쪼후
31,4,일상생활,"인사,소개",일찍 주무세요,완안
32,4,일상생활,"인사,소개",자기소개를 해보세요,쯔워 쩨싸오 이쌰
33,4,일상생활,"인사,소개",잘 다녀오십시오. ,이루쑨펑
34,4,일상생활,"인사,소개",잘 부탁드립니다.,칭 둬둬 관쪼우
35,4,일상생활,"인사,소개",잘 부탁합니다. ,칭둬 관쪼우
36,4,일상생활,"인사,소개",저는 ㅇㅇㅇ회사의 ㅇㅇㅇ입니다. ,워쓰 OOO 궁쓰더 OOO
37,4,일상생활,"인사,소개",전화해주세요 ,칭 다땐화 게이 워
38,4,일상생활,"인사,소개",즐거운 주말 보내십시오 ,쭈니 쩌우뭐 위콰이
39,4,일상생활,"인사,소개",직장동료를 만나면 항상 인사를 하세요,펑또우 딴웨이 퉁쓰 칭 다쪼후
40,4,일상생활,"인사,소개",축하합니다.,쭈허니
41,4,일상생활,"인사,소개",친절하게 인사하세요,친체 원허우
42,4,일상생활,"인사,소개",편히 쉬십시오 ,칭 호호 쓔시
43,4,일상생활,"인사,소개",화를 내서 미안합니다. ,뚜이부치 워파훠러
44,4,일상생활,"날씨,여가",가을,츄탠
45,4,일상생활,"날씨,여가",감기에 걸리지 않도록 유의하세요,칭 쭈이 위팡 간모우
46,4,일상생활,"날씨,여가",겨울,뚱탠
47,4,일상생활,"날씨,여가",날씨가 나쁩니다. ,탠치 부호
48,4,일상생활,"날씨,여가",날씨가 더워요?,탠치 러마 ?
49,4,일상생활,"날씨,여가",날씨가 많이 쌀쌀해 졌어요.,탠치 뺀 렁러
50,4,일상생활,"날씨,여가",날씨가 좋네요,탠치 헌호
51,4,일상생활,"날씨,여가",날씨가 추워요?,탠치 렁마 ?
52,4,일상생활,"날씨,여가",내일은 공휴일이니 기숙사에서 쉬도록 해요,밍탠쓰 궁쓔르 후이취 호호 쓔시바
53,4,일상생활,"날씨,여가",눈이 옵니다. ,쌰쉐러
54,4,일상생활,"날씨,여가",당신의 취미는 무엇입니까?,니더 아이호 쓰 선머 ?
55,4,일상생활,"날씨,여가",동상에 걸리지 않도록 조심하세요,칭 쭈이 위팡 뚱상
56,4,일상생활,"날씨,여가",두꺼운 옷이 필요합니까 ?,슈요우 허우 이푸마 ?
57,4,일상생활,"날씨,여가",바람이 붑니다. ,꽈펑러
58,4,일상생활,"날씨,여가",봄,춘탠
59,4,일상생활,"날씨,여가",비가 옵니다 ,쌰위러
60,4,일상생활,"날씨,여가",쉬는 날에는 주로 뭐해요?,쓔시탠 더우후이 쭤선머 ?
61,4,일상생활,"날씨,여가",쉬는날에 무엇을 하고 싶나요?,쓔시탠 샹 쭤선머 ?
62,4,일상생활,"날씨,여가","아침, 저녁으로 온도차이가 많이납니다.",조완 원차 따
63,4,일상생활,"날씨,여가",여름,쌰탠
64,4,일상생활,"날씨,여가",오늘은 공휴일입니다. ,진탠쓰 궁쓔르
65,4,일상생활,"날씨,여가",옷을 따뜻하게 입으세요.,둬촨이댄
66,4,일상생활,"날씨,여가",운동을 좋아하십니까?,시환 윈뚱마 ?
67,4,일상생활,"날씨,여가",이번 주말에 등산하는건 어떻습니까?,쩌거 쩌우뭐 취 떵산바 ?
68,4,일상생활,"날씨,여가",이번 주말에는 쉬세요.,쩌거 쩌우뭐 쮸 쓔시바
69,4,일상생활,"날씨,여가",일요일에는 일이 없습니다.,씽치탠 메쓰쭤
70,4,일상생활,"날씨,여가",좀 더 얇은 옷이 필요한가요 ?,슈요우 껑 보이댄더 이푸마 ? 
71,4,일상생활,"날씨,여가",주말에 뭐할꺼예요?,쩌우뭐 쭤선머?
72,4,일상생활,"날씨,여가",주말에 친구들과 여행을 하세요,쩌우뭐 허 펑유먼 취 뤼유바
73,4,일상생활,"날씨,여가",주말에 OO를 구경시켜 드릴께요,쩌우뭐 따이니 취 찬관 OOO
