분과,대회직종,지방대회,전국대회,국제대회
기계,기계조림,기계조립기능사,"기계조립산업기사, 기계조립기능사 중 택1","기계조립산업기사, 기계조립기능사 중 택1"
기계,금형,"금형기능사, 기계조립기능사 중 택1","프레스금형산업기사, 사출금형산업기사, 기계조립산업기사, 금형기능사, 기계조립기능사 중 택1","프레스금형산업기사, 사출금형산업기사, 기계조립산업기사, 금형기능사, 기계조립기능사 중 택1"
기계,정밀기기,"컴퓨터응용선반기능사, 컴퓨터응용밀링기능사, 연삭기능사, 기계조립기능사 중 택1","기계조립산업기사, 컴퓨터응용선반기능사, 커뮤터응용밀링기능사, 연삭기능사, 기계조립기능사 중 택1","기계조립산업기사, 컴퓨터응용선반기능사, 컴퓨터응용밀링기능사, 연삭기능사, 기계조립기능사 중 택1"
기계,폴리메카닉스,"컴퓨터응용선반기능사, 컴퓨터응용밀링기능사. 기계조립기능사. 생산자동화기능사 중 택1","기계조립산업기사, 생산자동화산업기사, 컴퓨터응용선반기능사, 컴퓨터응용밀링기능사, 기계조립기능사, 생산자동화기능사 중 택1","기계조립산업기사, 생산자동화산업기사, 컴퓨터응용선반기능사, 컴퓨터응용밀링기능사, 기계조립기능사, 생산자동화기능사 중 택1"
기계,플라스틱다이엔지니어링,없음,없음,"금형기능사, 프레스금형산업기사, 사출금형산업기사, 기계조립산업기사 중 택1"
기계,통합제조,없음,없음,"기계설계산업기사, 기계조립산업기사, 전기산업기사 중 택1"
기계,기계설계/CAD,전산응용기계제도기능사,"기계설계산업기사, 전산응용기계제도기능사 중 택1","기계설계산업기사, 전산응용기계제도기능사 중 택1"
기계,CNC/선반,컴퓨터응용선반기능사,"컴퓨터응용가공산업기사, 컴퓨터응용선반기능사 중 택1","컴퓨터응용가공산업기사, 컴퓨터응용선반기능사 중 택1"
기계,CNC/밀링,컴퓨터응용밀링기능사,"컴퓨터응용가공산업기사, 컴퓨터응용밀링기능사 중 택1","컴퓨터응용가공산업기사, 컴퓨터응용밀링기능사 중 택1"
기계,CNC머시닝,"컴퓨터응용선반기능사, 컴퓨터응용밀링기능사 중 택1","컴퓨터응용가공산업기사, 컴퓨터응용선박기능사, 컴퓨터응용밀링기능사 중 택1","컴퓨터응용가공산업기사, 컴퓨터응용선반기능사, 컴퓨터응용밀링기능사 중 택1"
기계,자동차정비,자동차정비기능사,"자동차정비산업기사, 자동차정비기능사 중 택1","자동차정비산업기사, 자동차정비기능사 중 택1"
기계,타출판금,자동차차체수리기능사,"판금제관산업기사, 자도차차체수리기능사 중 택1","판금제관산업기사, 자동차차체수리기능사 중 택1"
기계,농업기계정비,농기계정비기능사,"농업기계산업기사, 농기계정비기능사 중 택1","농업기계산업기사, 농기계정비기능사 중 택1"
기계,메카트로닉스,"기계정비기능사, 기계조립기능사, 생산자동화기능사, 공유압기능사 중 택1","생산자동화산업기사, 기계정비기능사, 기계조립기능사, 생산자동화기능사, 공유압기능사 중 택1","생산자동화산업기사, 기계정비기능사, 기계조립기능사, 생산자동화기능사, 공유압기능사 중 택1"
기계,냉동기술,공조냉동기계기능사,"공조냉동기계산업기사, 공조냉동기계기능사 중 택1","공조냉동기계산업기사, 공조냉동기계기능사 중 택1"
기계,철골구조물,판금제관기능사,"판금관제산업기사, 판금제관기능사 중 택1","판금제관산업기사,판금제관기능사 중 택1"
기계,항공정비,없음,없음,"항공산업기사, 항공기관정비기능사, 항공기체정비기능사, 항공장비정비기능사, 항공전자정비기능사 중 택1"
금속,용접,"용접기능사, 특수용접기능사 중 택1","용접산업기사, 용접기능사, 특수용접기능사 중 택1","용접산업기사, 용접기능사, 특수용접기능사 중 택1"
