번호,직종명,과제수,경기시작일,경기종료일,총시간,과제별 시간,1일차(오전),1일차(오후),2일차(오전),2일차(오후),3일차(오전),3일차(오후),4일차(오전),4일차(오후),5일차(오전),5일차(오후)
1,폴리메카닉스,2,2021.04.05,2021.04.08,16,1과제 : 12시간/2과제 : 4시간,사전준비,경기시작/1과제,1과제,1과제,1과제,2과제/경기종료,경기종료,채점종료,경기일정없음,경기일정없음
2,금형,3,2021.04.05,2021.04.08,11.7,1과제 : 40분/2과제 : 3시간/3과제 : 8시간 (사출시간 30분 포함),사전준비,경기시작/1과제/2과제,2과제,3과제,3과제,경기종료,채점종료,경기일정없음,경기일정없음,경기일정없음
3,기계설계/CAD,3,2021.04.05,2021.04.08,12.5,1과제 : 4시간 30분/2과제 : 3시간/3과제 : 5시간,경기일정없음,사전준비,경기시작/1과제,1과제,2과제,2과제,3과제/경기종료,채점종료,경기일정없음,경기일정없음
4,CNC밀링,2,2021.04.05,2021.04.08,11.5,1과제 : 5시간 30분/2과제 : 6시간,사전준비,경기시작/1과제,1과제,1과제,2과제,경기종료,경기종료,채점종료,경기일정없음,경기일정없음
5,CNC선반,2,2021.04.05,2021.04.08,11.5,1과제 : 4시간/2과제 : 7시간 30분,사전준비,경기시작/1과제,1과제,1과제,2과제,경기종료,경기종료,채점종료,경기일정없음,경기일정없음
6,프로토타입모델링,2,2021.04.05,2021.04.08,18,1과제 : 3시간/2과제 : 15시간,사전준비,경기시작/1과제,2과제,2과제,2과제,경기종료,채점종료,경기일정없음,경기일정없음,경기일정없음
7,냉동기술,4,2021.04.05,2021.04.08,15.5,1과제 : 6시간/2과제 : 5시간/3과제 : 2시간/4과제 : 2시간 30분,경기일정없음,사전준비,경기시작/1과제,1과제,2과제,2과제,3과제,4과제/경기종료/채점종료,경기일정없음,경기일정없음
8,산업용드론제어,3,2021.04.05,2021.04.08,14,1과제 : 4시간/2과제 : 4시간/3과제 : 6시간,경기일정없음,사전준비,경기시작/1과제,1과제,2과제,2과제,3과제,경기종료/채점종료,경기일정없음,경기일정없음
9,용접,3,2021.04.05,2021.04.09,17,1~3과제 : 17시간,경기일정없음,사전준비/경기시작,1과제,2과제,3과제,경기종료,경기종료,경기종료,채점종료,경기일정없음
10,배관,3,2021.04.05,2021.04.08,13,1과제 : 2시간 30분/2과제 : 3시간 30분/3과제 : 7시간,경기일정없음,사전준비/경기시작/1과제,2과제,2과제,3과제,경기종료,채점종료,경기일정없음,경기일정없음,경기일정없음
11,주조,2,2021.04.05,2021.04.07,8.5,1과제 : 4시간/2과제 : 4시간 30분 ,경기일정없음,사전준비,경기시작/1과제,1과제,2과제,경기종료/채점종료,경기일정없음,경기일정없음,경기일정없음,경기일정없음
12,자동차정비,4,2021.04.05,2021.04.09,6,1과제 : 1시간 30분/2과제 : 1시간 30분/3과제 : 1시간 30분/4과제 : 1시간 30분 ,경기일정없음,사전준비,경기시작,1과제,2과제,3과제,3과제,4과제 ,4과제,경기종료/채점종료
13,자동차차체수리,1,2021.04.05,2021.04.08,14,단일과제 : 14시간,경기일정없음,사전준비,경기시작,과제수행,과제수행,경기종료,경기종료,채점종료,경기일정없음,경기일정없음
14,자동차페인팅,4,2021.04.05,2021.04.08,11,1과제 : 3시간/2과제 : 3시간/3과제 : 3시간/4과제 : 2시간,경기일정없음,사전준비,경기시작/1과제,1과제,2과제,3과제,4과제/경기종료,채점종료,경기일정없음,경기일정없음
15,농업기계정비,4,2021.04.05,2021.04.08,8,1과제 : 2시간/2과제 : 2시간/3과제 : 2시간/4과제 : 2시간,경기일정없음,사전준비/경기시작/1과제,2과제,2과제,3과제,3과제,4과제,경기종료/채점종료,경기일정없음,경기일정없음
16,판금철골구조물,1,2021.04.05,2021.04.08,15,단일과제,경기일정없음,사전준비,경기시작,과제수행,과제수행,경기종료,채점종료,경기일정없음,경기일정없음,경기일정없음
17,공업전자기기,4,2021.04.05,2021.04.08,12.5,1과제 : 3시간/2과제 : 2시간 30분/3과제 : 3시간/4과제 : 4시간 ,경기일정없음,사전준비,경기시작/1과제,2과제,3과제,3과제,4과제/경기종료,채점종료,경기일정없음,경기일정없음
18,전기제어,3,2021.04.05,2021.04.07,10,1과제 : 4시간/2과제 : 5시간/3과제 : 1시간,경기일정없음,사전준비,경기시작/1과제,2과제,2과제/3과제/경기종료,채점종료,경기일정없음,경기일정없음,경기일정없음,경기일정없음
19,산업제어,3,2021.04.05,2021.04.08,11,1과제 : 30분/2과제 : 7시간 30분/3과제 : 3시간,경기일정없음,사전준비,경기시작/1과제,2과제,2과제,2과제,3과제,경기종료/채점종료,경기일정없음,경기일정없음
20,전기기기,2,2021.04.05,2021.04.08,14,1과제 : 8시간/2과제 : 6시간,경기일정없음,사전준비,경기시작/1과제,1과제,2과제,경기종료,채점종료,경기일정없음,경기일정없음,경기일정없음
21,모바일로보틱스,3,2021.04.05,2021.04.08,9,1과제 : 3시간/2과제 : 3시간/3과제 : 3시간  ,경기일정없음,사전준비,경기시작/1과제,1과제,2과제,2과제,3과제,경기종료/채점종료,경기일정없음,경기일정없음
22,통신망분배기술,5,2021.04.05,2021.04.09,11.5,1과제 : 2시간/2과제 : 3시간/3과제 : 3시간/4과제 : 3시간/5과제 : 30분,경기일정없음,사전준비,경기시작/1과제,1과제,2과제,2과제,3과제,3과제,4과제,4과제/5과제/경기종료/채점종료
