연번,훈련과정 명,사업구분,훈련기관 명,NCS 코드,NCS 코드 1,NCS 코드2,NCS 코드 3,NCS 코드 명 1,NCS 코드 명 2,NCS 코드 명 3,훈련방법,훈련 시간
1,고글 제품 설계 및 Scale-Up,s-ojt,㈜오리온엔이에스,190307,19,3,7,전기·전자,디스플레이개발,전자기기개발,OJT,20
2,CAM,s-ojt,은성스퀘어,150201,15,2,1,기계,절삭가공,기계가공,OJT,20
3,기계수동조립,s-ojt,㈜케이씨,150302,15,3,2,기계,기계생산관리,기계조립·관리,OJT,20
4,소프트웨어 사용탐지를 위한 네트워크 모니터링 기술 실무,s-ojt,닥터소프트,200102,20,1,2,정보통신,정보기술개발,정보기술,OJT,40
5,전기설비 기본 및 표준설계 스킬향상,s-ojt,숲이엔지,190106,19,1,6,전기·전자,전기설비설계·감리,전기,OJT,4
6,공정검사와 측정실무,s-ojt,㈜에이스테크원,150201,15,2,1,기계,절삭가공,기계가공,OJT,30
7,DC모터 생산 및 시험,s-ojt,상신에스앤피㈜,150301,15,3,1,기계,기계조립,기계조립·관리,OJT,40
8,FA적용 AMS 센서 S/W프로그램 개발 및 성능구현,s-ojt,㈜에이씨엑스,190300,19,3,0,전기·전자,미분류,전자기기개발,OJT,8
9,5G용 안테나의 감도향상 및 측정,s-ojt,㈜아트시그널,190305,19,3,5,전기·전자,전자부품개발,전자기기개발,OJT,8
10,딥러닝 Edge컴퓨팅을 위한 보드의 SW 성능구현,s-ojt,㈜오스코,200101,20,1,1,정보통신,정보기술전략·계획,정보기술,OJT,8
11,특수인쇄 품질검사 실무,s-ojt,새롬테크,220102,22,1,2,인쇄·목재·가구·공예,인쇄,인쇄ㆍ출판,OJT,30
12,사출 금형 - CNC밀링(머시닝 센터) 제작,s-ojt,태원이엔지,150201,15,2,1,기계,절삭가공,기계가공,OJT,30
13,CCTV 카메라 생산,s-ojt,지에스앤티㈜,190201,19,2,1,전기·전자,전자제품개발기획·생산,전자기기일반,OJT,40
14,프레스금형사후관리,s-ojt,㈜현성테크노,151002,15,10,2,기계,프레스금형,금형,OJT,40
15,전자부품 생산,s-ojt,㈜서진에스엔피,190201,19,2,1,전기·전자,전자제품개발기획·생산,전자기기일반,OJT,40
16,자동생산설비운용기술실무,s-ojt,(주)동진밸브,150201,15,2,1,기계,절삭가공,기계가공,OJT,40
17,건강음료제조가공,s-ojt,하티,210101,21,1,1,식품가공,식품가공,식품가공,OJT,30
18,콘크리트 증기양생 노통연관식보일러 운영관리,s-ojt,동아산업㈜,150502,15,5,2,기계,냉동공조설비,기계장치설치,OJT,40
