연도,회차,종목,응시인원,합격인원,합격률
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,가스기능사,239,164,69
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,건설기계정비기능사,173,162,94
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,건설재료시험기능사,371,300,81
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,건축도장기능사,430,358,83
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,건축목공기능사,17,17,100
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,공유압기능사,916,823,90
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,공조냉동기계기능사,412,347,84
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,귀금속가공기능사,173,110,64
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,금속재료시험기능사,23,21,91
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,금형기능사,887,814,92
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,기계가공조립기능사,519,400,77
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,농기계정비기능사,433,402,93
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,도자공예기능사,175,154,88
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,동력기계정비기능사,129,127,98
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,미용사(네일),297,167,56
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,미용사(메이크업),242,100,41
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,반도체장비유지보수기능사,41,41,100
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,방사선비파괴검사기능사,26,25,96
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,배관기능사,43,31,72
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,복어조리기능사,55,30,55
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,사진기능사,423,342,81
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,생산자동화기능사,1414,1187,84
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,선체건조기능사,99,97,98
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,설비보전기능사,340,274,81
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,수산양식기능사,158,151,96
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,승강기기능사,763,663,87
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,식품가공기능사,997,929,93
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,신발류제조기능사,111,106,95
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,신재생에너지발전설비기능사(태양광),41,0,0
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,실내건축기능사,548,456,83
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,양장기능사,181,131,72
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,열처리기능사,60,48,80
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,염색기능사(날염),25,25,100
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,염색기능사(침염),193,193,100
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,용접기능사,1195,909,76
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,원예기능사,47,43,91
2017,2017년 정기 기능사 산업별 맞춤형 고교등 필기면제검정,웹디자인기능사,532,235,44
