버전,종류,파일명,파일크기,적용일
2.0.0.3,감독관 프로그램,HRDCBTManager_Setup_2.0.0.3.exe,37054842,2021-03-24
2.0.0.3,수험자 프로그램,HRDCBTViewer_Setup_2.0.0.3.exe,17400733,2021-03-24
2.0.0.2,수험자 프로그램,HRDCBTViewer_Setup_2.0.0.2.exe,17399257,2020-11-11
2.0.0.2,감독관 프로그램,HRDCBTManager_Setup_2.0.0.2.exe,37054946,2020-11-11
2.0.0.1,수험자 프로그램,HRDCBTViewer_Setup_2.0.0.1.exe,17399174,2020-09-10
2.0.0.1,감독관 프로그램,HRDCBTManager_Setup_2.0.0.1.exe,37048759,2020-09-10
2.0.0.0,감독관 프로그램,HRDCBTManager_Setup_2.0.0.0.exe,36488290,2020-08-03
2.0.0.0,수험자 프로그램,HRDCBTViewer_Setup_2.0.0.0.exe,17400138,2020-08-03
1.0.1.2,감독관 프로그램,HRDCBTManager_Setup_1.0.1.2.exe,36385319,2020-05-04
1.0.1.2,수험자 프로그램,HRDCBTViewer_Setup_1.0.1.2.exe,17296031,2020-05-04
1.0.1.1,수험자 프로그램,HRDCBTViewer_Setup_1.0.1.1.exe,17296666,2020-01-10
1.0.1.1,감독관 프로그램,HRDCBTManager_Setup_1.0.1.1.exe,36386051,2020-01-10
1.0.1.0,수험자 프로그램,HRDCBTViewer_Setup_1.0.1.0.exe,17302298,2019-12-27
1.0.1.0,감독관 프로그램,HRDCBTManager_Setup_1.0.1.0.exe,36397849,2019-12-27
1.0.0.9,수험자 프로그램,HRDCBTViewer_Setup_1.0.0.9.exe,17332234,2019-11-04
1.0.0.9,감독관 프로그램,HRDCBTManager_Setup_1.0.0.9.exe,36439703,2019-11-04
1.0.0.8,감독관 프로그램,HRDCBTManager_Setup_1.0.0.8.exe,36438265,2019-07-08
1.0.0.8,수험자 프로그램,HRDCBTViewer_Setup_1.0.0.8.exe,17334071,2019-07-08
1.0.0.7,수험자 프로그램,HRDCBTViewer_Setup_1.0.0.7.exe,17333678,2019-05-03
1.0.0.7,감독관 프로그램,HRDCBTManager_Setup_1.0.0.7.exe,36440160,2019-05-03
1.0.0.6,감독관 프로그램,HRDCBTManager_Setup_1.0.0.6.exe,36409844,2019-04-01
1.0.0.6,수험자 프로그램,HRDCBTViewer_Setup_1.0.0.6.exe,17332872,2019-04-01
1.0.0.5,수험자 프로그램,HRDCBTViewer_Setup_1.0.0.5.exe,17335598,2018-12-27
1.0.0.5,감독관 프로그램,HRDCBTManager_Setup_1.0.0.5.exe,34682197,2018-12-27
1.0.0.4,감독관 프로그램,HRDCBTManager_Setup_1.0.0.4.exe,34680368,2018-11-26
1.0.0.4,수험자 프로그램,HRDCBTViewer_Setup_1.0.0.4.exe,17335170,2018-11-26
1.0.0.3,수험자 프로그램,HRDCBTViewer_Setup_1.0.0.3.exe,18112139,2018-09-21
1.0.0.3,감독관 프로그램,HRDCBTManager_Setup_1.0.0.3.exe,35499691,2018-09-21
1.0.0.2,수험자 프로그램,HRDCBTViewer_Setup_1.0.0.2.exe,18113190,2018-08-30
1.0.0.2,감독관 프로그램,HRDCBTManager_Setup_1.0.0.2.exe,35497868,2018-08-30
1.0.0.1,감독관 프로그램,HRDCBTManager_Setup_1.0.0.1.exe,35498667,2018-06-29
1.0.0.1,수험자 프로그램,HRDCBTViewer_Setup_1.0.0.1.exe,18112625,2018-06-29
1.0.0.0,수험자 프로그램,HRDCBTViewer_Setup_1.0.0.0.exe,18114731,2018-06-27
1.0.0.0,감독관 프로그램,HRDCBTManager_Setup_1.0.0.0.exe,35497234,2018-06-27
1.0.0.0,VPN 접속 프로그램,winsetup_218.54.130.90.exe,17936560,2016-08-26
0.9.4.3,감독관 프로그램,HRDCBTManager_Setup_0.9.4.3.exe,35495420,2018-03-18
0.9.4.3,수험자 프로그램,HRDCBTViewer_Setup_0.9.4.3.exe,18112187,2018-03-18
0.9.4.2,수험자 프로그램,HRDCBTViewer_Setup_0.9.4.2.exe,18111415,2017-12-29
0.9.4.2,감독관 프로그램,HRDCBTManager_Setup_0.9.4.2.exe,35492878,2017-12-29
0.9.4.1,감독관 프로그램,HRDCBTManager_Setup_0.9.4.1.exe,35291968,2017-07-21
0.9.4.1,수험자 프로그램,HRDCBTViewer_Setup_0.9.4.1.exe,18027876,2017-07-21
0.9.4.0,감독관 프로그램,HRDCBTManager_Setup_0.9.4.0.exe,35292396,2017-06-04
0.9.4.0,수험자 프로그램,HRDCBTViewer_Setup_0.9.4.0.exe,18029990,2017-06-04
0.9.3.7,수험자 프로그램,HRDCBTViewer_Setup_0.9.3.7.exe,16439851,2017-03-13
0.9.3.7,감독관 프로그램,HRDCBTManager_Setup_0.9.3.7.exe,33569112,2017-03-13
0.9.3.6,감독관 프로그램,HRDCBTManager_Setup_0.9.3.6.exe,33572430,2017-01-05
0.9.3.6,수험자 프로그램,HRDCBTViewer_Setup_0.9.3.6.exe,16439538,2017-01-05
0.9.3.5,수험자 프로그램,HRDCBTViewer_Setup_0.9.3.5.exe,16436171,2016-08-26
0.9.3.5,감독관 프로그램,HRDCBTManager_Setup_0.9.3.5.exe,33564152,2016-08-26
0.9.3.4,감독관 프로그램,HRDCBTManager_Setup_0.9.3.4.exe,34114454,2016-06-26
0.9.3.4,수험자 프로그램,HRDCBTViewer_Setup_0.9.3.4.exe,16975205,2016-06-26
0.9.3.3,감독관 프로그램,HRDCBTManager_Setup_0.9.3.3.exe,34114681,2016-02-15
0.9.3.3,수험자 프로그램,HRDCBTViewer_Setup_0.9.3.3.exe,16979654,2016-02-15
0.9.3.2,수험자 프로그램,HRDCBTViewer_Setup_0.9.3.2.exe,16976230,2016-01-19
0.9.3.2,감독관 프로그램,HRDCBTManager_Setup_0.9.3.2.exe,34112200,2016-01-19
0.9.3.1,감독관 프로그램,HRDCBTManager_Setup_0.9.3.1.exe,33767254,2015-09-22
0.9.3.1,수험자 프로그램,HRDCBTViewer_Setup_0.9.3.1.exe,16973230,2015-09-22
0.9.3.0,감독관 프로그램,HRDCBTManager_Setup_0.9.3.0.exe,33762762,2015-09-20
0.9.3.0,수험자 프로그램,HRDCBTViewer_Setup_0.9.3.0.exe,16974134,2015-09-20
0.9.2.7,감독관 프로그램,HRDCBTManager_Setup_0.9.2.7.exe,31591347,2015-02-16
0.9.2.7,수험자 프로그램,HRDCBTViewer_Setup_0.9.2.7.exe,15973729,2015-02-16
0.9.2.6,수험자 프로그램,HRDCBTViewer_Setup_0.9.2.6.exe,15969334,2015-01-16
0.9.2.6,감독관 프로그램,HRDCBTManager_Setup_0.9.2.6.exe,31586958,2015-01-16
0.9.2.5,수험자 프로그램,HRDCBTViewer_Setup_0.9.2.5.exe,15966588,2014-11-11
0.9.2.5,감독관 프로그램,HRDCBTManager_Setup_0.9.2.5.exe,31579662,2014-11-11
0.9.2.4,수험자 프로그램,HRDCBTViewer_Setup_0.9.2.4.exe,15965029,2014-11-04
0.9.2.4,감독관 프로그램,HRDCBTManager_Setup_0.9.2.4.exe,31578823,2014-11-04
0.9.2.3,감독관 프로그램,HRDCBTManager_Setup_0.9.2.3.exe,31580929,2014-11-02
0.9.2.3,수험자 프로그램,HRDCBTViewer_Setup_0.9.2.3.exe,15967455,2014-11-02
0.9.2.2,수험자 프로그램,HRDCBTViewer_Setup_0.9.2.2.exe,15967262,2014-10-23
0.9.2.2,감독관 프로그램,HRDCBTManager_Setup_0.9.2.2.exe,31582044,2014-10-23
0.9.2.1,감독관 프로그램,HRDCBTManager_Setup_0.9.2.1.exe,31581288,2014-10-23
0.9.2.1,수험자 프로그램,HRDCBTViewer_Setup_0.9.2.1.exe,15964031,2014-10-23
0.9.2.0,감독관 프로그램,HRDCBTManager_Setup_0.9.2.0.exe,30985569,2014-10-20
0.9.2.0,수험자 프로그램,HRDCBTViewer_Setup_0.9.2.0.exe,15457655,2014-10-20
