지사코드,지사약어,지사명,표시순서,확대지사여부,사용여부
0,본부,본부,0,N,N
1,서울,서울지역본부,1,N,Y
2,서부,서울서부지사,2,N,Y
3,부산,부산지역본부,6,N,Y
4,대구,대구지역본부,10,N,Y
5,인천,인천지역본부,13,N,Y
6,광주,광주지역본부,17,N,Y
7,남부,서울남부지사,3,N,Y
8,충남,충남지사,24,N,Y
9,울산,울산지사,9,N,Y
10,경기,경기지사,14,N,Y
11,강원,강원지사,4,N,Y
12,충북,충북지사,23,N,Y
13,대전,대전지역본부,22,N,Y
14,전북,전북지사,18,N,Y
15,전남,전남지사,19,N,Y
16,경북,경북지사,11,N,Y
17,경남,경남지사,8,N,Y
18,제주,제주지사,21,N,Y
19,강원동부,강원동부지사,5,N,Y
20,전남서부,전남서부지사,20,N,Y
21,부산남부,부산남부지사,7,N,Y
22,경북동부,경북동부지사,12,N,Y
23,경기북부,경기북부(확대),15,Y,Y
24,경기동부,경기동부(확대),16,Y,Y
