대분류,중분류,소분류,세부항목,메뉴 설명
HRD4U 메인,직업능력개발 사업소개,중소기업  HRD 역량강화,훈련과정Zip,한국산업인력공단에서 운영하고 있는 훈련과정 Zip 에 대한 설명
HRD4U 메인,직업능력개발 사업소개,중소기업  HRD 역량강화,직업능력개발 표준훈련지수,한국산업인력공단에서 운영하고 있는 표준훈련지수에 대한 설명
HRD4U 메인,직업능력개발 사업소개,중소기업  HRD 역량강화,중소기업학습조직화지원,한국산업인력공단에서 운영하고 있는 학습조직화 사업에 대한 설명
HRD4U 메인,직업능력개발 사업소개,중소기업  HRD 역량강화,인적자원개발 우수기관인증,한국산업인력공단에서 운영하고 있는 인적자원개발 우수기관 인증에 대한 설명
HRD4U 메인,직업능력개발 사업소개,중소기업  HRD 역량강화,기업 HRD자가진단,기업 HRD 자가진단에 대한 설명
HRD4U 메인,직업능력개발 사업소개,근로자 직무능력 향상,일학습병행,한국산업인력공단에서 운영하고 있는 일학습 병행제에 대한 설명
HRD4U 메인,직업능력개발 사업소개,근로자 직무능력 향상,사업주 직업능력개발훈련,한국산업인력공단에서 운영하고 있는 사업주 직업능력 개발훈련에 대한 설명
HRD4U 메인,직업능력개발 사업소개,근로자 직무능력 향상,현장맞춤형 체계적 훈련,한국산업인력공단에서 운영하고 있는 현장맞춤형 체계적 훈련에 대한 설명
HRD4U 메인,직업능력개발 사업소개,근로자 직무능력 향상,지역산업맞춤형 인력양성지원,한국산업인력공단에서 운영하고 있는 지역산업 맞춤형 인력 양성 지원에 대한 설명
HRD4U 메인,직업능력개발 사업소개,근로자 직무능력 향상,국가인적자원개발 컨소시엄,한국산업인력공단에서 운영하고 있는 국가인적자원개발 컨소시엄에 대한 설명
HRD4U 메인,직업능력개발 사업소개,청년 및 취약층 일자리지원,한국직업방송,한국 직업방송에 대한 설명
HRD4U 메인,직업능력개발 사업소개,전국민 능력개발 향상,직업능력의 달,한국산업인력공단에서 운영하고 있는 직업능력에 달에 대한 설명
HRD4U 메인,직업능력개발 사업소개,전국민 능력개발 향상,인적자원개발 컨퍼런스,한국산업인력공단 인적자원개발 컨퍼런스에 대한 설명
HRD4U 메인,직업능력개발 사업소개,전국민 능력개발 향상,HRD콘텐츠,HRD콘텐츠 사이트에 대한 설명
HRD4U 메인,훈련패키지,훈련패키지 소개,-,한국산업인력공단에서 운영하고 있는 훈련 패키지에 대한 설명
HRD4U 메인,훈련패키지,직업능력개발 표준훈련지수,-,직업능력개발 표준훈련지수에 대한 설명 및 지수 확인 페이지
HRD4U 메인,훈련패키지,훈련과정Zip,-,신규 자체훈련의 진입장벽 해소 및 공공데이터 개방을 통한 정보 제공
HRD4U 메인,훈련패키지,훈련가이드북,-,한국산업인력공단에서 운영 중인 직무분야별 훈련 프로그램을 활용하여 제작된 훈련 안내서
HRD4U 메인,훈련패키지,강사뱅크,-,강사 뱅크에 대한 설명 및 안내
HRD4U 메인,능력개발 전문가 인력풀,사업개요,-,전문가 인력풀 사업에 대한 설명
HRD4U 메인,능력개발 전문가 인력풀,신청자격,-,전문가 인력풀 신청에 대한 신청 자격에대한 설명
HRD4U 메인,홍보센터,공지사항,-,HRD4U 공지사항에 대한 목록
HRD4U 메인,홍보센터,홍보자료,-,HRD4U 홍보자료에 대한 목록
HRD4U 메인,홍보센터,현장포토,-,HRD4U 현장포토에 대한 목록
HRD4U 메인,홍보센터,고객참여,-,HRD4U 고객참여에 대한 목록
HRD4U 메인,홍보센터,뉴스레터,-,HRD4U 뉴스레터에 대한 목록
