종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
기술사합계,전체,전체,789718,600284,54935,9.2,85233,84783,53637,63.3,55266
기술사합계,2015(누적),전체,672082,502836,45402,9,69802,69447,44604,64.2,46233
기술사합계,2016,전체,21861,17669,1483,8.4,2404,2382,1350,56.7,1350
기술사합계,2016,여자,1115,910,95,10.4,156,155,83,53.5,83
기술사합계,2017,전체,22540,18534,1700,9.2,2753,2737,1624,59.3,1624
기술사합계,2017,여자,1132,917,76,8.3,146,144,66,45.8,66
기술사합계,2018,전체,23450,19327,2056,10.6,3184,3173,1919,60.5,1919
기술사합계,2018,여자,1290,1039,113,10.9,191,190,129,67.9,129
기술사합계,2019,전체,24806,21335,2387,11.2,3787,3768,2227,59.1,2227
기술사합계,2019,여자,1466,1257,158,12.6,223,223,123,55.2,123
기술사합계,2020,전체,24979,20583,1907,9.3,3303,3276,1913,58.4,1913
기술사합계,2020,여자,1593,1283,138,10.8,235,232,126,54.3,126
생산관리분야,전체,전체,5360,4397,1158,26.3,2046,2031,1059,52.1,1069
생산관리분야,2015(누적),전체,3838,3083,805,26.1,1361,1353,713,52.7,723
생산관리분야,2016,전체,315,273,108,39.6,191,189,80,42.3,80
생산관리분야,2016,여자,4,4,3,75,5,5,3,60,3
생산관리분야,2017,전체,332,277,63,22.7,137,135,80,59.3,80
생산관리분야,2017,여자,10,8,2,25,3,3,2,66.7,2
생산관리분야,2018,전체,323,268,72,26.9,134,134,57,42.5,57
생산관리분야,2018,여자,12,9,2,22.2,3,3,2,66.7,2
생산관리분야,2019,전체,310,280,77,27.5,155,153,84,54.9,84
생산관리분야,2019,여자,16,13,5,38.5,8,8,4,50,4
생산관리분야,2020,전체,242,216,33,15.3,68,67,45,67.2,45
생산관리분야,2020,여자,6,3,1,33.3,3,3,2,66.7,2
공장관리,전체,전체,1303,1067,309,29,469,464,272,58.6,281
공장관리,2015(누적),전체,998,820,244,29.8,360,358,209,58.4,218
공장관리,2016,전체,57,51,7,13.7,19,18,10,55.6,10
공장관리,2016,여자,0,0,0,0,0,0,0,0,0
공장관리,2017,전체,63,46,13,28.3,21,19,11,57.9,11
공장관리,2017,여자,0,0,0,0,0,0,0,0,0
공장관리,2018,전체,71,53,9,17,15,15,4,26.7,4
공장관리,2018,여자,2,1,0,0,0,0,0,0,0
