종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
디자인분야,1975,2019,전체,1017340,856958,458629,53.5,697119,542248,265961,49,268162
디자인분야,1975,2014,전체,906025,761115,391693,51.5,606309,469998,217624,46.3,219149
디자인분야,2015,2015,전체,25434,21975,14027,63.8,19760,15903,10286,64.7,10417
디자인분야,2015,2015,여,17237,14968,10268,68.6,13832,11074,7240,65.4,7293
디자인분야,2016,2016,전체,20522,17356,12266,70.7,18007,14466,9734,67.3,9894
디자인분야,2016,2016,여,13872,11751,8796,74.9,12437,9914,6740,68,6806
디자인분야,2017,2017,전체,20047,17398,12656,72.7,16651,13176,9132,69.3,9258
디자인분야,2017,2017,여,13475,11834,9134,77.2,11572,9104,6376,70,6424
디자인분야,2018,2018,전체,21620,18804,13880,73.8,18245,14365,9334,65,9469
디자인분야,2018,2018,여,14736,12947,10031,77.5,12749,10026,6667,66.5,6723
디자인분야,2019,2019,전체,23692,20310,14107,69.5,18147,14340,9851,68.7,9975
디자인분야,2019,2019,여,16120,14006,10298,73.5,12847,10103,7153,70.8,7189
제품응용모델링,1975,2019,전체,2256,1882,1069,56.8,4936,4650,4390,94.4,4677
제품응용모델링,1975,2014,전체,1820,1515,849,56,3784,3569,3369,94.4,3508
제품응용모델링,2015,2015,전체,129,117,67,57.3,275,267,261,97.8,284
제품응용모델링,2015,2015,여,30,26,15,57.7,85,80,77,96.3,88
제품응용모델링,2016,2016,전체,116,97,53,54.6,261,246,237,96.3,278
제품응용모델링,2016,2016,여,13,8,5,62.5,44,39,38,97.4,55
제품응용모델링,2017,2017,전체,32,26,20,76.9,225,211,183,86.7,209
제품응용모델링,2017,2017,여,13,8,5,62.5,54,46,40,87,49
제품응용모델링,2018,2018,전체,101,82,52,63.4,217,198,189,95.5,213
제품응용모델링,2018,2018,여,12,8,6,75,80,75,71,94.7,81
제품응용모델링,2019,2019,전체,58,45,28,62.2,174,159,151,95,185
제품응용모델링,2019,2019,여,19,13,7,53.8,50,48,47,97.9,56
컴퓨터그래픽스운용,1975,2019,전체,873579,732592,360515,49.2,582458,460988,222615,48.3,223931
컴퓨터그래픽스운용,1975,2014,전체,798465,667984,318878,47.7,520222,408535,184923,45.3,185866
컴퓨터그래픽스운용,2015,2015,전체,17075,14645,8370,57.2,13199,11215,7464,66.6,7542
컴퓨터그래픽스운용,2015,2015,여,11480,9878,6117,61.9,9295,7924,5398,68.1,5431
컴퓨터그래픽스운용,2016,2016,전체,13966,11791,7863,66.7,12397,10478,7432,70.9,7517
컴퓨터그래픽스운용,2016,2016,여,9474,7994,5680,71.1,8735,7409,5365,72.4,5407
컴퓨터그래픽스운용,2017,2017,전체,13593,11891,8068,67.8,11969,10000,7622,76.2,7696
컴퓨터그래픽스운용,2017,2017,여,9150,8027,5829,72.6,8474,7106,5510,77.5,5541
컴퓨터그래픽스운용,2018,2018,전체,14613,12738,8746,68.7,12505,10480,7520,71.8,7602
컴퓨터그래픽스운용,2018,2018,여,10037,8768,6366,72.6,8829,7453,5522,74.1,5558
