open API,부서,파일형식,조회수,활용신청,활용률,수정일
일학습병행제 정보 조회,일학습과정개발센터,XML/ JSON,1050,43,4.10%,2018-09-17
일학습병행자격 종목별 NCS 능력단위 정보,일학습과정개발센터,XML/ JSON,1079,24,2.22%,2018-08-17
"과정평가형, 일학습병행 통계 정보",일학습과정개발센터,XML/ JSON,1021,19,1.86%,2019-08-14
과정평가형일학습병행 홈페이지 관리 정보 서비스,일학습과정개발센터,XML/ JSON,811,11,1.36%,2020-09-01
"과정형가형, 일학습병행 통계연보",일학습과정개발센터,XML/ JSON,1081,12,1.11%,2019-08-14
과정평가형일학습병행 설문 관련 정보 조회 서비스,일학습과정개발센터,XML/ JSON,802,8,1.00%,2020-09-01
과정평가형일학습병행 과정 지정평가 관련 정보 조회 서비스,일학습과정개발센터,XML/ JSON,756,7,0.93%,2020-09-01
과정평가형일학습병행 출제 관련 정보 서비스,일학습과정개발센터,XML/ JSON,770,7,0.91%,2020-09-01
과정평가형일학습병행 모니터링 일정 정보 서비스,일학습과정개발센터,XML/ JSON,797,6,0.75%,2020-09-01
과정평가형일학습병행 외부평가 채점결과 연계이력 서비스,일학습과정개발센터,XML/ JSON,765,5,0.65%,2020-09-01
