파일데이터,부서,파일형식,조회수,다운로드,다운로드 비율,수정일
국가자격 CBT과목정보,정보화사업1부,CSV/ JSON + XML,790,416,52.66%,2021-06-04
국가자격 CBT 교시과목 정보,정보화사업1부,CSV/ JSON + XML,794,382,48.11%,2021-06-04
국가자격 CBT 시행정보,정보화사업1부,CSV/ JSON + XML,832,368,44.23%,2021-04-09
전문사무 종목별 시험정보현황,정보화사업1부,CSV,1239,499,40.27%,2020-09-29
국가자격 CBT 종목 및 등급정보,정보화사업1부,CSV/ JSON + XML,1252,428,34.19%,2021-07-08
국가자격 CBT 시험장소 좌석 정보,정보화사업1부,CSV/ JSON + XML,846,275,32.51%,2021-04-09
국가기술자격 종목별 시험정보,정보화사업1부,CSV/ JSON + XML,1052,315,29.94%,2021-06-22
직무분야별 기사 자격통계현황,정보화사업1부,CSV/ JSON + XML,2102,554,26.36%,2020-10-05
기술사 종목별 시험정보현황,정보화사업1부,CSV/ JSON + XML,1445,379,26.23%,2020-06-23
기능장 종목별 시험정보현황,정보화사업1부,CSV/ JSON + XML,1364,353,25.88%,2021-06-22
기사 종목별 시험정보 현황,정보화사업1부,CSV/ JSON + XML,1554,392,25.23%,2021-06-22
기능사 종목별 시험정보현황,정보화사업1부,CSV/ JSON + XML,1432,359,25.07%,2020-06-23
직무분야별 기술사 자격통계현황,정보화사업1부,CSV/ JSON + XML,1820,438,24.07%,2021-06-22
산업기사 종목별 시험정보현황,정보화사업1부,CSV/ JSON + XML,1743,395,22.66%,2021-06-22
직무분야별 기능장 자격통계현황,정보화사업1부,CSV/ JSON + XML,1677,358,21.35%,2020-09-29
직무분야별 전문사무 자격통계현황,정보화사업1부,CSV/ JSON + XML,1565,326,20.83%,2020-10-05
직무분야별 산업기사 자격통계현황,정보화사업1부,CSV/ JSON + XML,1786,361,20.21%,2021-06-22
직무분야별 기능사 자격통계현황,정보화사업1부,CSV/ JSON + XML,1773,358,20.19%,2020-09-29
국가자격 종목 목록 정보,정보화사업1부,CSV/ JSON + XML,4103,723,17.62%,2021-06-22
국가자격  CBT 통계 및 현황정보,정보화사업1부,CSV/ JSON + XML,91,7,7.69%,2021-06-08
자격정보  CBT 프로그램 버전 정보,정보화사업1부,CSV/ JSON + XML,92,4,4.35%,2021-06-08
