파일데이터,부서,파일형식,조회수,다운로드,다운로드 비율,수정일
국가자격 CBT과목정보,정보화사업1부,CSV/ JSON + XML,790,416,52.66%,2021-06-04
국가자격 CBT 교시과목 정보,정보화사업1부,CSV/ JSON + XML,794,382,48.11%,2021-06-04
국가자격 CBT 시행정보,정보화사업1부,CSV/ JSON + XML,832,368,44.23%,2021-04-09
전문사무 종목별 시험정보현황,정보화사업1부,CSV,1239,499,40.27%,2020-09-29
국가자격 CBT 종목 및 등급정보,정보화사업1부,CSV/ JSON + XML,1252,428,34.19%,2021-07-08
국가기술자격 종목별 시험정보,정보화사업1부,CSV/ JSON + XML,1052,315,29.94%,2021-06-22
직무분야별 기사 자격통계현황,정보화사업1부,CSV/ JSON + XML,2102,554,26.36%,2020-10-05
기술사 종목별 시험정보현황,정보화사업1부,CSV/ JSON + XML,1445,379,26.23%,2020-06-23
기능장 종목별 시험정보현황,정보화사업1부,CSV/ JSON + XML,1364,353,25.88%,2021-06-22
기사 종목별 시험정보 현황,정보화사업1부,CSV/ JSON + XML,1554,392,25.23%,2021-06-22
기능사 종목별 시험정보현황,정보화사업1부,CSV/ JSON + XML,1432,359,25.07%,2020-06-23
직무분야별 기술사 자격통계현황,정보화사업1부,CSV/ JSON + XML,1820,438,24.07%,2021-06-22
산업기사 종목별 시험정보현황,정보화사업1부,CSV/ JSON + XML,1743,395,22.66%,2021-06-22
직무분야별 기능장 자격통계현황,정보화사업1부,CSV/ JSON + XML,1677,358,21.35%,2020-09-29
직무분야별 전문사무 자격통계현황,정보화사업1부,CSV/ JSON + XML,1565,326,20.83%,2020-10-05
직무분야별 산업기사 자격통계현황,정보화사업1부,CSV/ JSON + XML,1786,361,20.21%,2021-06-22
직무분야별 기능사 자격통계현황,정보화사업1부,CSV/ JSON + XML,1773,358,20.19%,2020-09-29
국가자격 종목 목록 정보,정보화사업1부,CSV/ JSON + XML,4103,723,17.62%,2021-06-22
국가자격  CBT 통계 및 현황정보,정보화사업1부,CSV/ JSON + XML,91,7,7.69%,2021-06-08
자격정보  CBT 프로그램 버전 정보,정보화사업1부,CSV/ JSON + XML,92,4,4.35%,2021-06-08
해외진출정보,정보화사업2부,PDF,2760,2919,105.76%,2021-06-15
민간기능경기대회 지원 대상 모집 공고,정보화사업2부,JPG,784,353,45.03%,2021-06-08
국제기능 올림픽대회 경기장 개요,정보화사업2부,HWP,797,354,44.42%,2020-06-26
지방기능경기대회 및 민간기능경기대회 공고,정보화사업2부,GIF/ JPG,855,364,42.57%,2021-06-08
국가기술자격 출제기준 및 문제정보,정보화사업2부,HWP,2710,1148,42.36%,2021-05-21
국가자격 CBT 시험장소 및 수험자 정보,정보화사업2부,CSV/ JSON + XML,954,394,41.30%,2021-04-09
국가별주요정보(해외취업),정보화사업2부,CSV/ JSON + XML,1018,368,36.15%,2020-06-19
지방기능경기대회 경기장 현황,정보화사업2부,CSV/ JSON + XML,892,301,33.74%,2021-06-08
직업방송 동영상 프로그램 목록,정보화사업2부,CSV/ JSON + XML,1265,422,33.36%,2021-06-22
해외취업 통계정보,정보화사업2부,CSV,3778,1235,32.69%,2021-01-26
기능경기대회 입상자에 대한 검정과목 면제 현황,정보화사업2부,CSV/ JSON + XML,929,301,32.40%,2020-10-15
지방기능경기대회 직종별 경기일정 현황,정보화사업2부,CSV/ JSON + XML,903,275,30.45%,2021-06-09
역대 지방기능경기대회 개최 현황,정보화사업2부,CSV/ JSON + XML,1513,452,29.87%,2020-10-22
역대 전국기능경기대회 개최 현황,정보화사업2부,CSV/ JSON + XML,1548,434,28.04%,2020-10-26
지방기능경기대회 원서접수 현황,정보화사업2부,CSV/ JSON + XML,1515,392,25.87%,2020-10-15
"지방기능경기대회 경기장 현황(시도, 직종별)",정보화사업2부,CSV/ JSON + XML,1496,381,25.47%,2020-07-10
국가직무능력표준 정보,정보화사업2부,CSV,3940,913,23.17%,2021-04-12
역대 국제기능올림픽대회 참가현황,정보화사업2부,CSV/ JSON + XML,1537,336,21.86%,2020-10-15
외국인근로자가 자주 쓰는 외국어 (필리핀),정보화사업2부,CSV/ JSON + XML,1519,314,20.67%,2021-06-22
외국인근로자가 자주 쓰는 외국어 (중국),정보화사업2부,CSV/ JSON + XML,1584,319,20.14%,2021-06-22
외국인근로자가 자주 쓰는 외국어 (키르기스스탄),정보화사업2부,CSV/ JSON + XML,1525,305,20.00%,2021-06-22
외국인근로자가 자주 쓰는 외국어 (우즈베키스탄),정보화사업2부,CSV/ JSON + XML,1549,305,19.69%,2021-06-22
외국국적동포(H-2) 취업 교육장 현황,정보화사업2부,HWP,1210,91,7.52%,2021-06-18
자격정보 CBT 지사 정보,정보화사업2부,CSV/ JSON + XML,120,4,3.33%,2021-06-01
HRD4U 훈련교재 리스트,직업방송매체부,CSV/ JSON + XML,898,423,47.10%,2021-06-22
HRD4U 시스템서비스 정보,직업방송매체부,CSV/ JSON + XML,844,366,43.36%,2021-06-22
HRD4U 콘텐츠현황,직업방송매체부,CSV/ JSON + XML,1503,377,25.08%,2021-06-22
일학습병행 훈련과정개발 통계,일학습과정개발센터,XLSX,872,0,0.00%,2021-06-24
일학습병행 훈련과정 개발보고서,일학습과정개발센터,PDF,870,0,0.00%,2021-06-24
일학습병행 종목별 개발현황,일학습과정개발센터,XLSX,173,0,0.00%,2021-05-21
일학습병행 직종별 개발현황,일학습과정개발센터,XLSX,172,0,0.00%,2021-05-21
국가자격 CBT 시험장소 좌석 정보,정보화사업 1부,CSV/ JSON + XML,846,275,32.51%,2021-04-09
직종개편 공고안,,HWP,809,309,38.20%,2020-06-10
숙련기술진흥사업정보,,CSV/ JSON + XML,1216,280,23.03%,2021-07-13
훈련과정 ZIP 데이터목록,,CSV/ JSON + XML,30,3,10.00%,2021-07-07
산업별 맞춤형 고교등 필기면제검정,,CSV/ JSON + XML,54,4,7.41%,2021-06-24
